Target_genes	Klf15|Average	SRX10012505|Liver	SRX10012506|Liver	STRING
Them4	456.0	407	505	0
Edf1	455.0	386	524	0
Rcan1	453.5	327	580	0
Rnaseh2b	453.0	357	549	0
Ppp1r15b	452.5	366	539	0
Narf	452.5	298	607	0
Adssl1	452.0	331	573	0
Dexi	450.5	399	502	0
Clec16a	450.5	399	502	0
Nudt16	446.5	315	578	0
Mcfd2	446.5	380	513	0
Rad54b	446.0	415	477	0
Nfatc3	446.0	377	515	0
Ass1	445.0	373	517	0
Cdca4	444.5	314	575	0
Fhod3	444.0	303	585	0
Rc3h1	443.5	311	576	0
B4galt7	443.0	362	524	0
Tmem135	442.5	298	587	0
Mrpl34	442.5	377	508	0
Fzd4	442.5	298	587	0
Elovl6	442.5	370	515	0
Dda1	442.5	377	508	0
Eloc	442.0	411	473	0
Pigv	441.0	373	509	0
Slc19a2	440.0	371	509	0
Cyp2d22	440.0	323	557	0
Atad3a	440.0	357	523	0
Ska1	439.5	302	577	0
Gapdh	439.5	390	489	0
Srp54c	438.5	289	588	0
Srp54b	438.5	289	588	0
Naa80	437.5	305	570	0
Hyal3	437.5	305	570	0
Hyal1	437.5	305	570	0
Tpd52l1	437.0	270	604	0
Slc12a2	437.0	326	548	0
Ppard	435.5	326	545	0
Usp49	434.5	390	479	0
Fzd5	434.5	350	519	0
Klhl7	434.0	357	511	0
Pygl	433.5	428	439	0
Traip	433.0	379	487	0
Bnip3	433.0	297	569	0
Sun1	432.5	307	558	0
Fam20c	431.0	284	578	0
Phf20	429.5	278	581	0
Pbx1	429.5	375	484	0
P2ry2	429.5	304	555	0
Klf3	429.0	322	536	0
Pink1	427.5	275	580	0
Dym	427.5	310	545	0
Tmem14c	427.0	291	563	0
Daam1	426.5	411	442	0
Mtg2	426.0	391	461	0
Prxl2a	423.5	325	522	0
Rnf13	423.0	299	547	0
Pdik1l	423.0	335	511	0
Grb7	422.0	286	558	0
Ss18l2	421.5	245	598	0
Selenbp1	420.5	347	494	0
Zfhx2	420.0	295	545	0
Ttc41	420.0	343	497	0
Thtpa	420.0	295	545	0
Sowahc	420.0	303	537	0
Septin10	420.0	303	537	0
Hsp90b1	420.0	343	497	0
Enho	420.0	353	487	0
Rbx1	419.5	344	495	0
Cep68	419.5	351	488	0
Acsl1	418.5	351	486	0
Sdf2l1	418.0	374	462	0
Marchf8	418.0	337	499	0
Reep6	417.5	400	435	0
Pcsk4	417.5	400	435	0
Dlgap1	417.0	244	590	0
Slc25a51	416.5	309	524	0
Slco2b1	416.0	285	547	0
Ppat	416.0	326	506	0
Paics	416.0	326	506	0
Jpt2	416.0	343	489	0
Fdft1	416.0	298	534	0
Birc2	415.5	290	541	0
Rfxank	413.5	302	525	0
Gm45929	413.5	302	525	0
Borcs8	413.5	302	525	0
Acadl	413.5	308	519	0
0610010F05Rik	413.5	269	558	0
Ercc2	413.0	253	573	0
Tyw1	412.5	232	593	0
Stat2	412.5	386	439	0
Sbds	412.5	232	593	0
Pspn	412.5	346	479	0
Apof	412.5	386	439	0
Alkbh7	412.5	346	479	0
Zscan20	411.5	276	547	0
Nmd3	411.5	389	434	0
Srp54a	411.0	301	521	0
Lca5	410.5	260	561	0
Hsd17b10	410.5	369	452	0
Fbxo44	410.5	332	489	0
Fbxo2	410.5	332	489	0
Pars2	410.0	292	528	0
Mier2	410.0	324	496	0
Ropn1l	409.5	330	489	0
Rps19	409.0	238	580	0
Setd5	407.0	377	437	0
Usp12	406.5	322	491	0
Mlycd	406.5	342	471	0
Cmc1	406.5	375	438	0
Hivep1	405.0	344	466	0
Cdk1	405.0	334	476	0
Zbtb5	404.5	439	370	0
Six5	404.5	316	493	0
Adgra3	403.5	330	477	0
Wbp1l	402.0	301	503	0
Dynll2	402.0	382	422	0
Lysmd4	401.5	313	490	0
Kdm4b	401.0	299	503	0
Tsc22d1	400.5	352	449	0
Taf1d	400.0	266	534	0
Czib	400.0	264	536	0
4931406C07Rik	400.0	266	534	0
Pitrm1	399.5	313	486	0
Rasa3	399.0	241	557	0
Pole3	399.0	305	493	0
Alad	399.0	305	493	0
Abcg8	399.0	314	484	0
Abcg5	399.0	314	484	0
Rev1	398.5	291	506	0
Hey1	398.0	303	493	0
Faap100	398.0	351	445	0
Cbx8	398.0	281	515	0
Cyp27a1	397.0	206	588	0
Spout1	396.5	298	495	0
Nectin3	396.5	312	481	0
Yars	396.0	332	460	0
S100pbp	396.0	332	460	0
Spag8	395.5	337	454	0
Pik3r1	395.5	250	541	0
Nup133	395.5	313	478	0
Krt8	395.5	327	464	0
Hint2	395.5	337	454	0
Zfp217	394.5	328	461	0
Spc24	394.5	330	459	0
Bcar3	394.5	311	478	0
Atf2	394.0	289	499	0
Ogfrl1	393.0	329	457	0
Mien1	393.0	282	504	0
Klhl24	392.5	340	445	0
Mapk9	392.0	299	485	0
Fgd4	392.0	247	537	0
Aldh9a1	392.0	327	457	0
Rab33b	390.5	277	504	0
Tmem120b	389.5	330	449	0
Lyrm9	389.5	302	477	0
Cyld	389.5	338	441	0
Ckap5	389.0	284	494	0
Zfp189	388.5	258	519	0
Mrpl50	388.5	258	519	0
Cwf19l1	388.0	326	450	0
Rab3il1	387.5	346	429	0
Htra2	387.5	317	458	0
Dqx1	387.5	317	458	0
Srsf2	385.5	237	534	0
Mfsd11	385.5	237	534	0
Fosb	384.5	226	543	0
1190005I06Rik	384.5	271	498	0
Rab40c	384.0	270	498	0
Shmt1	383.0	268	498	0
Exoc7	383.0	302	464	0
Iffo1	382.5	190	575	0
Tob1	382.0	241	523	0
Rhobtb2	381.0	259	503	0
Rara	378.5	202	555	0
Echdc3	378.0	389	367	0
Maml3	377.5	368	387	0
Ninj1	377.0	198	556	0
Ccnl1	377.0	197	557	0
Cldnd2	376.5	273	480	0
Tnrc6c	376.0	272	480	0
Mpp5	375.5	308	443	0
Arf4	375.0	276	474	0
Polr2h	374.0	308	440	0
Hbegf	374.0	271	477	0
Clcn2	374.0	308	440	0
Sult1a1	373.5	257	490	0
Gtf2e2	373.0	363	383	0
Clic4	373.0	258	488	0
Galnt2	372.5	263	482	0
Opa3	371.5	274	469	0
Cyp3a13	371.5	377	366	0
Ppib	370.5	289	452	0
Chmp7	370.5	281	460	0
Nupr1l	370.0	249	491	0
Larp1	370.0	222	518	0
Taf6l	368.5	250	487	0
Sh3gl1	367.5	292	443	0
Rnf6	367.5	272	463	0
Rnf14	367.5	300	435	0
Chaf1a	367.5	292	443	0
Nedd9	366.5	335	398	0
