Target_genes	Hoxc8|Average	SRX7416178|Embryoid_Bodies	SRX7416179|Embryoid_Bodies	STRING
Meis3	454.0	531	377	0
Taf12	452.0	516	388	0
Samt2	450.5	526	375	0
Hsbp1l1	450.0	583	317	0
Megf9	449.0	594	304	0
Rara	448.0	671	225	0
Atp1b4	447.0	731	163	0
Bdnf	446.5	533	360	0
Katnal1	445.0	681	209	0
Kcnk4	444.5	653	236	0
Angptl7	444.5	609	280	0
Tob1	444.0	368	520	0
Ptprz1	443.0	649	237	0
Prrxl1	443.0	476	410	0
Cxxc4	441.5	605	278	0
4932414N04Rik	440.5	611	270	0
Tmx1	440.0	671	209	0
Nckap5	439.5	643	236	0
Arhgap24	438.0	473	403	0
Igf2bp3	437.5	526	349	0
H6pd	437.0	652	222	0
9530003J23Rik	435.5	619	252	0
Gtf2e2	435.0	688	182	0
Tbcel	434.0	505	363	0
Dpysl2	433.5	482	385	0
Rnf165	433.0	484	382	0
Atp8b4	431.0	551	311	0
Lyrm9	430.5	514	347	0
Apcs	430.0	662	198	0
Tnfaip8l3	429.0	483	375	0
Eri3	428.5	583	274	0
Zfp330	427.0	561	293	0
Sh2d7	426.5	702	151	0
Tmem165	425.0	630	220	0
Srek1ip1	423.5	457	390	0
Il31ra	423.0	463	383	0
Rc3h2	422.0	564	280	0
Phldb2	421.5	584	259	0
Zc3h6	420.5	613	228	0
Tm2d2	420.0	601	239	0
Jakmip2	419.5	684	155	0
Crygf	419.5	576	263	0
Acvr1c	419.5	557	282	0
Atp2b2	418.5	656	181	0
Wdr95	418.0	667	169	0
Pou2f2	417.5	624	211	0
Ech1	417.0	353	481	0
Gpr45	416.5	585	248	0
Sipa1l3	415.5	618	213	0
Rusf1	415.0	523	307	0
Pou3f2	415.0	558	272	0
Dhrs7c	415.0	656	174	0
Hdac4	414.0	638	190	0
Sqor	412.5	641	184	0
Gm4737	412.5	557	268	0
Rgs8	412.0	598	226	0
Mxra7	411.5	479	344	0
Clcc1	411.0	585	237	0
Casp7	410.5	624	197	0
Xkrx	409.5	555	264	0
Lpo	409.5	530	289	0
Crtam	409.0	502	316	0
Arg1	409.0	610	208	0
Gas2	408.5	447	370	0
Fancf	408.5	447	370	0
Qser1	408.0	636	180	0
Mgmt	408.0	602	214	0
