Target_genes	Dbp|Average	DRX178619|Liver	DRX178621|Liver	DRX178627|Liver	DRX178629|Liver	STRING
Tjp1	801.25	796	727	552	1130	0
Per2	800.5	804	526	669	1203	0
Raph1	798.5	935	688	521	1050	0
Phf14	797.25	524	678	733	1254	0
Gvin1	796.25	888	707	461	1129	0
Gm4070	796.25	888	707	461	1129	0
Slc44a1	795.5	1075	606	503	998	0
Lcorl	795.25	585	214	280	2102	0
Zfp960	795.0	688	518	589	1385	0
Slc25a37	795.0	596	532	410	1642	0
Ccdc166	793.75	771	274	0	2130	0
Zbtb44	792.5	870	610	636	1054	0
Psme1	792.25	1038	775	435	921	0
Fitm1	792.25	1038	775	435	921	0
Fmo3	788.5	874	654	410	1216	0
Hipk1	787.75	995	533	521	1102	0
Cep20	787.75	383	274	311	2183	0
Rbm12b1	787.25	934	537	633	1045	0
Gpx1	786.5	739	625	754	1028	0
Abhd11	786.0	662	271	493	1718	0
Alg10b	785.5	279	404	271	2188	0
Csad	784.75	623	371	827	1318	0
Lonp2	783.0	774	650	521	1187	0
Hsd3b3	782.5	797	640	558	1135	0
Serpina5	781.0	928	414	661	1121	0
Plg	780.75	974	684	479	986	0
Saa1	780.25	979	796	531	815	0
Lpin2	780.0	798	537	536	1249	0
Gbp2	778.25	996	546	546	1025	0
Ptcd1	777.0	668	175	181	2084	0
Cpsf4	777.0	668	175	181	2084	0
Nt5c3	776.75	751	516	444	1396	0
Slc15a5	776.5	997	613	513	983	0
Cyp2d9	776.25	888	567	486	1164	0
Trim11	775.25	577	412	470	1642	0
Cyp2d40	775.25	815	590	584	1112	0
Cox5a	774.5	876	559	520	1143	0
Mettl7b	773.75	653	596	639	1207	0
Snx18	773.0	777	501	529	1285	0
Hikeshi	772.75	785	334	579	1393	0
Rab43	771.0	662	420	546	1456	0
Uso1	769.75	242	204	544	2089	0
G3bp2	769.75	242	204	544	2089	0
Auts2	769.75	739	590	550	1200	0
Nedd8	769.0	542	307	488	1739	0
Gmpr2	769.0	542	307	488	1739	0
Pctp	766.0	909	547	634	974	0
Taf6	765.25	576	417	585	1483	0
Cnpy4	765.25	576	417	585	1483	0
Lipc	765.0	738	481	716	1125	0
Alad	765.0	960	585	501	1014	0
Isoc2b	763.25	906	560	677	910	0
Ptpmt1	762.0	1242	772	308	726	0
2610001J05Rik	761.75	833	481	518	1215	0
Arl13b	759.5	791	651	680	916	0
Tcstv3	758.25	700	233	1092	1008	0
Sptlc2	756.75	580	513	658	1276	0
Ddx42	756.25	415	215	375	2020	0
Ccdc47	756.25	415	215	375	2020	0
Ces1c	755.75	850	643	521	1009	0
Trappc1	754.75	536	235	269	1979	0
Kcnab3	754.75	536	235	269	1979	0
Cntrob	754.75	536	235	269	1979	0
Strn3	753.5	1003	815	322	874	0
Sh3glb1	753.5	869	444	519	1182	0
Fbxo3	753.5	780	648	424	1162	0
Ap4s1	753.5	1003	815	322	874	0
4931422A03Rik	753.5	780	648	424	1162	0
Zfp97	753.25	673	425	590	1325	0
Rnf187	753.0	288	264	678	1782	0
Gabarapl1	751.75	798	806	360	1043	0
Tbcel	751.25	679	382	498	1446	0
Slc13a4	751.0	770	518	457	1259	0
Ebpl	750.5	1059	479	304	1160	0
Txndc5	750.25	684	501	557	1259	0
Crebl2	745.75	942	510	410	1121	0
Aspa	745.0	932	608	443	997	0
Pgap1	744.0	902	781	454	839	0
Gm34653	743.75	791	574	436	1174	0
Fbxw2	743.75	791	574	436	1174	0
Il1rl1	743.0	639	571	398	1364	0
Arid4a	741.5	875	431	424	1236	0
Epc1	741.25	755	483	529	1198	0
Irf2	740.0	816	608	520	1016	0
Cyp2c50	739.0	576	655	785	940	0
Prss46	738.0	846	624	490	992	0
Got1	738.0	868	604	414	1066	0
Rab21	736.25	763	442	497	1243	0
Adnp	735.75	350	176	188	2229	0
Dusp1	732.5	858	298	602	1172	0
Ggt7	730.75	670	290	436	1527	0
Acss2	730.75	670	290	436	1527	0
Cyp4f17	729.75	824	508	382	1205	0
Mlx	729.0	808	462	430	1216	0
Hsd17b1	729.0	808	462	430	1216	0
Coasy	729.0	808	462	430	1216	0
Vwa1	728.25	633	491	496	1293	0
Brap	727.75	755	461	433	1262	0
Acad10	727.75	755	461	433	1262	0
Defb1	727.0	739	480	530	1159	0
Cfhr2	720.5	872	302	679	1029	0
Rhbdd3	720.25	622	631	421	1207	0
Ewsr1	720.25	622	631	421	1207	0
Csnk1g2	719.75	498	0	236	2145	0
Tarbp2	717.5	421	158	341	1950	0
Slc35d1	717.5	738	518	648	966	0
Map3k12	717.5	421	158	341	1950	0
Gpd1l	716.25	813	480	537	1035	0
Paip2	715.75	1190	591	248	834	0
Hnrnpa2b1	715.5	529	221	201	1911	0
Cbx3	715.5	529	221	201	1911	0
Dpp9	714.75	910	368	539	1042	0
Abcf3	714.5	347	218	388	1905	0
Ndufaf4	714.0	568	765	576	947	0
Chdh	714.0	998	587	406	865	0
Mpc2	713.5	591	0	271	1992	0
Dcaf6	713.5	591	0	271	1992	0
Srcap	710.25	832	742	372	895	0
Chac1	710.25	568	202	362	1709	0
Serpina10	709.75	912	528	461	938	0
Acot4	709.5	932	916	369	621	0
Ubl5	709.25	468	360	459	1550	0
Fbxl12	709.25	468	360	459	1550	0
F10	709.0	651	479	571	1135	0
Adipor1	708.25	791	535	430	1077	0
Pxk	707.5	906	586	499	839	0
Acot3	707.25	690	700	438	1001	0
Scaf1	707.0	692	518	528	1090	0
Rras	707.0	692	518	528	1090	0
Esrra	707.0	524	304	223	1777	0
Catsperz	707.0	524	304	223	1777	0
Angptl8	707.0	523	244	241	1820	0
Gp5	705.5	610	571	506	1135	0
Plin1	704.5	594	407	369	1448	0
Tnfaip1	703.0	862	447	392	1111	0
Ift20	703.0	862	447	392	1111	0
1810055G02Rik	702.75	582	525	469	1235	0
Exd1	699.5	718	587	387	1106	0
Chp1	699.5	718	587	387	1106	0
Pemt	699.0	817	277	307	1395	0
Pnp2	698.75	833	420	480	1062	0
Scaf11	697.5	685	483	506	1116	0
Efcab2	697.0	478	0	156	2154	0
Edn1	696.75	625	603	479	1080	0
Cd302	695.25	908	650	363	860	0
Zfp788	695.0	349	372	392	1667	0
Abcc3	694.5	898	582	373	925	0
Pnp	692.75	623	434	520	1194	0
Wwtr1	692.0	399	238	268	1863	0
Adcy2	689.75	645	562	507	1045	0
Ncoa4	689.5	932	652	373	801	0
Xrcc6	688.75	395	152	214	1994	0
Desi1	688.75	395	152	214	1994	0
Fam20b	688.5	789	580	521	864	0
Iigp1	687.5	831	679	326	914	0
Tmem52b	687.0	639	513	455	1141	0
Olr1	687.0	639	513	455	1141	0
Gpam	684.0	750	531	445	1010	0
Rnf39	683.5	675	400	458	1201	0
Car14	683.25	682	403	514	1134	0
Mrpl11	681.0	879	461	442	942	0
Ugdh	680.5	886	516	328	992	0
Eif3a	680.0	906	351	385	1078	0
Sft2d2	679.25	803	582	373	959	0
Fggy	678.75	641	473	482	1119	0
H3c7	677.25	882	488	413	926	0
H2bc9	677.25	882	488	413	926	0
Tomm70a	676.25	760	375	575	995	0
Anks4b	676.0	631	473	497	1103	0
Slc17a3	675.75	660	725	384	934	0
Fam83f	674.0	686	325	542	1143	0
Prkx	672.5	347	176	243	1924	0
Srsf11	672.25	709	493	428	1059	0
Lrrc40	672.25	709	493	428	1059	0
Hs6st1	672.25	685	548	317	1139	0
Cyp2c70	672.0	1005	789	214	680	0
Retreg1	671.5	778	498	354	1056	0
Spr	670.5	632	223	292	1535	0
Gstk1	668.25	814	409	531	919	0
Wee1	668.0	459	207	317	1689	0
Slc9a3r1	666.0	788	455	588	833	0
Hmgn2	665.75	456	243	181	1783	0
Scaper	664.5	828	526	261	1043	0
Osbpl9	664.5	913	448	396	901	0
Krt4	663.5	604	472	543	1035	0
Cyth1	662.25	706	602	189	1152	0
Gabbr2	661.5	779	491	504	872	0
Gbf1	661.0	848	466	383	947	0
Nt5c2	660.25	760	663	396	822	0
Ina	660.25	760	663	396	822	0
Engase	656.0	365	0	357	1902	0
Zfp141	655.75	445	295	395	1488	0
Dlg2	655.5	635	457	396	1134	0
Serping1	654.0	718	426	565	907	0
Tmem68	653.75	703	507	309	1096	0
Tgs1	653.75	703	507	309	1096	0
Znhit1	653.25	753	358	305	1197	0
Stim2	653.25	692	562	407	952	0
Plod3	653.25	753	358	305	1197	0
Zbtb7a	652.75	319	221	324	1747	0
Tppp3	652.5	514	349	610	1137	0
Coa7	652.5	436	285	262	1627	0
