Target_genes	Mxi1|Average	SRX140388|CH12	SRX140391|MEL	SRX15939545|NIH/3T3	SRX15939546|NIH/3T3	STRING
Kif2c	1349.25	1303	1218	1453	1423	0
Nras	1347.25	1749	1822	871	947	0
Cfap298	1346.75	1622	1617	1207	941	0
Psma4	1344.25	1302	1724	1169	1182	0
AY074887	1344.25	1302	1724	1169	1182	0
Zfp146	1344.0	941	696	2047	1692	0
Exosc2	1338.5	1150	1364	1352	1488	0
Vps33b	1338.0	1392	1550	1329	1081	0
Cfi	1337.75	1651	1606	0	2094	0
Metap1	1337.5	1388	1237	1460	1265	0
Ttc21a	1335.75	1341	1511	1211	1280	0
Gorasp1	1335.75	1341	1511	1211	1280	0
Wdr43	1335.0	1056	1158	1646	1480	0
Ubxn11	1334.75	797	1237	1670	1635	0
Shmt2	1334.5	902	935	1680	1821	0
Focad	1334.25	754	694	1685	2204	0
Tial1	1332.75	1288	1003	1674	1366	0
Tmem169	1332.25	1389	1639	1090	1211	0
Pecr	1332.25	1389	1639	1090	1211	0
Spata5	1332.0	1353	1285	1373	1317	0
Nudt6	1332.0	1353	1285	1373	1317	0
Thumpd1	1331.0	1252	1496	1210	1366	0
Ttc13	1330.75	1215	1220	1520	1368	0
Pdss1	1330.75	708	981	1601	2033	0
Arv1	1330.75	1215	1220	1520	1368	0
Suclg1	1327.75	1166	1618	1271	1256	0
Rrp8	1325.25	1038	1085	1646	1532	0
Ilk	1325.25	1038	1085	1646	1532	0
Nop58	1324.25	1107	1306	1648	1236	0
Trmt1	1323.25	1128	1604	1384	1177	0
Nacc1	1323.25	1128	1604	1384	1177	0
Ung	1323.0	921	1063	1723	1585	0
Alkbh2	1323.0	921	1063	1723	1585	0
Osgep	1322.5	1391	1249	1246	1404	0
Apex1	1322.5	1391	1249	1246	1404	0
Emc2	1318.5	588	1169	1574	1943	0
Wdr90	1314.75	1904	1531	1028	796	0
Trnt1	1312.5	1369	1486	1255	1140	0
Trappc10	1312.5	874	995	1634	1747	0
Frat2	1311.75	1263	961	1456	1567	0
Uqcc3	1311.5	1455	1867	1104	820	0
Lbhd1	1311.5	1455	1867	1104	820	0
Atp6v0b	1309.5	924	1347	1446	1521	0
Alg8	1305.75	901	1341	1387	1594	0
Kcnh6	1303.25	1393	2166	1151	503	0
Abhd18	1303.0	597	1285	1553	1777	0
Elp1	1302.5	870	1174	1551	1615	0
Abitram	1302.5	870	1174	1551	1615	0
Trmo	1302.25	1363	1548	1088	1210	0
Cdc20	1302.0	1002	861	1905	1440	0
Wdfy1	1301.0	1755	1724	930	795	0
Dph2	1300.75	924	1347	1446	1486	0
Dimt1	1300.5	1264	1604	1369	965	0
Fastkd1	1300.0	1155	1854	1254	937	0
Supv3l1	1299.75	1222	1669	946	1362	0
Ccdc9	1297.0	875	1157	1580	1576	0
Thg1l	1295.75	1221	1291	1234	1437	0
Dyrk3	1295.75	1212	970	1661	1340	0
Kif20b	1294.25	1074	698	1989	1416	0
Wdr55	1293.5	1083	1123	1533	1435	0
Wdr3	1293.0	899	1103	1835	1335	0
Selenos	1292.5	725	1102	1706	1637	0
D10Wsu102e	1291.0	995	1358	1477	1334	0
Klf16	1290.5	963	1209	1577	1413	0
Bcap29	1289.75	1040	1219	1477	1423	0
Rnaseh1	1288.75	1119	1198	1477	1361	0
Zfp91	1287.75	1049	986	1435	1681	0
Lpxn	1287.75	1049	986	1435	1681	0
Taf12	1285.75	1080	911	1375	1777	0
Fpgs	1281.0	866	1155	1500	1603	0
Adat1	1280.0	1169	1562	1318	1071	0
Sgtb	1276.25	1162	1249	1431	1263	0
Rmi2	1276.25	1000	724	1697	1684	0
Nln	1276.25	1162	1249	1431	1263	0
Tcstv3	1274.75	2148	1611	680	660	0
Slc20a1	1271.25	1147	1034	1369	1535	0
Saxo2	1270.25	1637	1512	1009	923	0
Gtf2f2	1270.25	1386	1627	1140	928	0
Efl1	1270.25	1637	1512	1009	923	0
Urb1	1269.5	1092	1466	1287	1233	0
Psmb10	1269.5	1174	1150	1196	1558	0
Ctrl	1269.5	1174	1150	1196	1558	0
Txn2	1269.0	858	889	1732	1597	0
Ndufaf4	1269.0	1170	1461	1135	1310	0
Cops7a	1268.0	848	998	1415	1811	0
Trmt11	1267.0	556	1241	1395	1876	0
Ndufaf2	1264.5	829	1187	1102	1940	0
Nagpa	1263.5	1281	1568	1045	1160	0
Pou2f1	1262.75	638	510	2067	1836	0
Ttll4	1260.75	981	1247	1295	1520	0
Xpot	1260.0	937	834	1641	1628	0
Trp53rkb	1260.0	1133	1394	1276	1237	0
Rida	1257.0	1155	1354	1163	1356	0
Pop1	1257.0	1155	1354	1163	1356	0
Gm3448	1256.75	1074	1047	1540	1366	0
Gm3417	1256.75	1074	1047	1540	1366	0
Wdr48	1255.5	658	1135	1329	1900	0
Gpn1	1254.5	613	1302	1469	1634	0
Ppat	1253.25	783	857	1631	1742	0
Paics	1253.25	783	857	1631	1742	0
Kdsr	1253.0	975	1308	1368	1361	0
Taf4b	1252.5	822	1026	1428	1734	0
Polr2f	1251.0	1050	1080	1347	1527	0
1700088E04Rik	1251.0	1050	1080	1347	1527	0
Iars	1250.75	905	1176	1358	1564	0
Agtrap	1250.25	1771	1628	545	1057	0
Hsph1	1249.25	1332	1124	1292	1249	0
Rbm34	1249.0	1137	1493	1135	1231	0
Ola1	1249.0	1315	1157	1293	1231	0
Ergic1	1247.5	769	884	1699	1638	0
Alg1	1247.5	1341	1411	1044	1194	0
Gtf3c6	1245.5	897	949	1603	1533	0
Utp18	1244.0	995	1225	1185	1571	0
Mbtd1	1244.0	995	1225	1185	1571	0
Lcat	1243.75	1071	1150	1196	1558	0
Cstf1	1243.25	1179	1405	1099	1290	0
Aurka	1243.25	1179	1405	1099	1290	0
Mdh1b	1242.5	1557	0	1841	1572	0
Fastkd2	1242.5	1557	0	1841	1572	0
Polr3e	1242.25	1142	1069	1390	1368	0
Pbld2	1241.25	1004	1331	1137	1493	0
Hnrnph3	1241.25	1004	1331	1137	1493	0
Man2c1	1240.75	1122	1250	1223	1368	0
Pgam5	1240.5	935	971	1609	1447	0
Naa25	1240.0	781	870	1546	1763	0
Acy1	1240.0	1148	1370	1183	1259	0
Pin1	1238.25	2082	1271	666	934	0
Mtx3	1236.25	998	1226	1208	1513	0
Zmym1	1234.75	684	806	1665	1784	0
Tcte3	1234.5	1074	1047	1540	1277	0
Pfas	1233.75	1037	1236	1341	1321	0
Prpf38a	1231.25	988	698	1523	1716	0
Orc1	1231.25	988	698	1523	1716	0
9030025P20Rik	1231.25	1052	976	1531	1366	0
Kbtbd3	1230.25	684	1141	1591	1505	0
Aasdhppt	1230.25	684	1141	1591	1505	0
Rab28	1229.75	890	1101	1360	1568	0
Ddx21	1229.5	1075	913	1560	1370	0
Larp4	1229.25	658	926	1724	1609	0
Pofut2	1228.75	1764	1081	1067	1003	0
Rps19bp1	1228.0	1196	1273	1283	1160	0
Dcakd	1228.0	968	1263	1468	1213	0
Gm3435	1227.0	1074	1047	1540	1247	0
Polr3b	1225.75	1241	1130	1265	1267	0
Zar1l	1225.5	1088	1444	1232	1138	0
Brca2	1225.5	1088	1444	1232	1138	0
Nufip1	1225.25	1191	1469	1278	963	0
Gpalpp1	1225.25	1191	1469	1278	963	0
Vcp	1224.75	1132	1181	1243	1343	0
Itpr1	1224.0	1172	1414	1105	1205	0
Amd2	1224.0	612	1111	1669	1504	0
Amd1	1224.0	612	1111	1669	1504	0
Nr1d2	1223.75	1022	1153	1312	1408	0
Mcm7	1222.25	1041	938	1385	1525	0
Ap4m1	1222.25	1041	938	1385	1525	0
Lsm2	1220.25	1051	664	1585	1581	0
Top1	1219.25	965	1084	1294	1534	0
Sae1	1219.25	883	1423	1404	1167	0
Zfp472	1218.5	913	1232	1303	1426	0
Tars	1218.5	736	1102	1397	1639	0
Rpl14	1218.5	1044	1253	1206	1371	0
Dpagt1	1216.0	938	1326	1046	1554	0
Vav2	1215.75	944	1421	1176	1322	0
Usp16	1215.75	1054	1559	985	1265	0
Zc3h8	1214.25	909	830	1329	1789	0
Bcas3	1213.5	1178	1305	1019	1352	0
Shq1	1213.25	1214	1024	1422	1193	0
Zfp81	1213.0	685	1144	1350	1673	0
Herpud2	1212.5	1160	1360	1193	1137	0
Khdrbs1	1211.0	1031	1273	1255	1285	0
Diablo	1211.0	812	813	1695	1524	0
Nup85	1210.0	862	832	1671	1475	0
Tmem11	1209.75	1132	1363	1058	1286	0
Aunip	1209.75	592	388	1930	1929	0
Upf3a	1208.0	1013	789	1625	1405	0
Tbl3	1208.0	1126	1466	1167	1073	0
Gnpat	1207.75	1020	916	1513	1382	0
2810004N23Rik	1207.75	1020	916	1513	1382	0
Psmc5	1207.5	1340	1506	1000	984	0
Ftsj3	1207.5	1340	1506	1000	984	0
Mrpl48	1205.0	1080	1219	1123	1398	0
