Target_genes	Chd1|Average	SRX188823|CH12	SRX188825|MEL	STRING
1110051M20Rik	201.5	187	216	0
Zc3hc1	201.0	147	255	0
Dynlt1b	200.0	184	216	0
Icam5	199.5	0	399	0
Icam4	199.5	0	399	0
Fam110a	199.5	176	223	0
Taf12	199.0	196	202	0
Aga	199.0	398	0	0
Marchf5	198.5	397	0	0
Gm13290	198.5	77	320	0
Gm13289	198.5	77	320	0
Gm13285	198.5	77	320	0
Tma16	198.0	175	221	0
H1f5	198.0	184	212	0
Ddx42	198.0	181	215	0
Ccdc47	198.0	181	215	0
BC107364	197.5	91	304	0
Zfp59	197.0	214	180	0
Uqcc3	197.0	169	225	0
Slc2a4	197.0	263	131	0
Ier5	197.0	230	164	0
Dynlt1a	197.0	139	255	0
Cd151	197.0	394	0	0
Pus7l	196.5	0	393	0
Prkx	196.5	393	0	0
Irak4	196.5	0	393	0
Unc119	196.0	223	169	0
Ubald1	196.0	305	87	0
Mrpl30	196.0	137	255	0
Mitd1	196.0	137	255	0
Dhx8	196.0	170	222	0
Mrpl1	195.5	176	215	0
H2bc4	195.5	149	242	0
H2ac6	195.5	149	242	0
Eef1akmt4-ece2	195.5	185	206	0
Eef1akmt4	195.5	185	206	0
Alg3	195.5	185	206	0
Setdb1	195.0	145	245	0
Cdk5rap3	195.0	180	210	0
Ubtf	194.0	174	214	0
Rab11b	194.0	204	184	0
Ensa	194.0	140	248	0
Ddx17	194.0	238	150	0
H2bc22	193.5	225	162	0
H2ac22	193.5	225	162	0
Seh1l	192.5	221	164	0
Dynlt1f	192.5	117	268	0
Dynlt1c	192.5	117	268	0
Sesn2	192.0	249	135	0
Serbp1	192.0	186	198	0
Scrn2	192.0	280	104	0
Rab11fip3	192.0	198	186	0
Yju2	191.5	99	284	0
Nit2	191.5	181	202	0
Krcc1	191.0	107	275	0
Mrps21	190.5	140	241	0
Tti2	190.0	215	165	0
Rpl7l1	190.0	130	250	0
Nab2	190.0	238	142	0
Lcor	190.0	168	212	0
Ogfod2	189.5	140	239	0
Nde1	189.5	263	116	0
Marf1	189.5	263	116	0
D2hgdh	189.5	120	259	0
Chd2	189.5	220	159	0
Arl6ip4	189.5	140	239	0
Selenot	189.0	193	185	0
Tubb5	188.0	181	195	0
Mdc1	188.0	181	195	0
H2bc12	188.0	224	152	0
H2ac12	188.0	224	152	0
Mospd3	187.5	178	197	0
Vps25	187.0	92	282	0
Trub2	187.0	204	170	0
Lrp10	187.0	190	184	0
