Target_genes	Srebf2|Average	SRX7671896|NLPCs	SRX7671897|NLPCs	SRX7671884|Oligodendrocytes	SRX7671885|Oligodendrocytes	STRING
Abcf1	125.5	364	138	0	0	0
Ubxn8	125.25	359	142	0	0	0
Cenpu	125.25	344	157	0	0	0
Rpl34-ps1	125.0	500	0	0	0	0
Rpl34	125.0	500	0	0	0	0
Cnot10	125.0	388	112	0	0	0
Arpc2	125.0	333	167	0	0	0
Mettl2	124.0	327	169	0	0	0
Ly6g5b	124.0	496	0	0	0	0
Gpank1	124.0	496	0	0	0	0
D17H6S53E	124.0	496	0	0	0	0
Csnk2b	124.0	496	0	0	0	0
Szt2	123.75	377	118	0	0	0
Med8	123.75	377	118	0	0	0
Zfp407	123.25	395	98	0	0	0
Noc3l	123.0	353	139	0	0	0
Eif2b2	123.0	324	168	0	0	0
Sfswap	122.75	347	144	0	0	0
Gpatch2l	122.75	369	122	0	0	0
Cyb5b	122.5	383	107	0	0	0
Thg1l	122.25	388	101	0	0	0
Vipas39	122.0	406	82	0	0	0
Rps20	122.0	367	121	0	0	0
Ahsa1	122.0	406	82	0	0	0
Mpzl3	121.5	486	0	0	0	0
Pak1ip1	121.0	399	85	0	0	0
Zfp672	120.75	305	178	0	0	0
Sh3bp5l	120.75	305	178	0	0	0
Cstf2t	120.75	374	109	0	0	0
Srbd1	120.5	306	176	0	0	0
Pi4k2a	120.0	480	0	0	0	0
Morn4	120.0	480	0	0	0	0
Spg11	119.75	356	123	0	0	0
Wdr89	119.5	310	168	0	0	0
Rsl24d1	119.5	478	0	0	0	0
Pik3ca	119.25	477	0	0	0	0
Nt5c3	118.5	331	143	0	0	0
Polr3b	118.25	375	98	0	0	0
Brpf1	118.25	142	110	221	0	0
Ncstn	118.0	334	138	0	0	0
Copa	118.0	334	138	0	0	0
Adrm1	118.0	322	150	0	0	0
Usp19	117.5	359	111	0	0	0
Nek9	117.5	347	123	0	0	0
Farsa	117.5	343	127	0	0	0
Tmem238	117.25	342	127	0	0	0
Rpl28	117.25	342	127	0	0	0
Foxk2	116.75	345	122	0	0	0
Asb1	116.75	298	169	0	0	0
Srpr	116.25	285	180	0	0	0
Foxred1	116.25	285	180	0	0	0
Orc2	116.0	464	0	0	0	0
Tmx2	115.5	462	0	0	0	0
Pdp2	115.5	166	0	296	0	0
Med19	115.5	462	0	0	0	0
Unkl	115.25	339	122	0	0	0
Percc1	115.25	339	122	0	0	0
BC003965	115.25	339	122	0	0	0
Elof1	115.0	340	120	0	0	0
Dbnl	115.0	367	93	0	0	0
Trim41	114.75	326	133	0	0	0
Zfp60	114.5	458	0	0	0	0
Ankrd42	114.5	358	100	0	0	0
Zbtb21	114.25	313	144	0	0	0
Wdr34	114.0	342	114	0	0	0
Mapkap1	113.75	455	0	0	0	0
Ropn1l	113.5	324	130	0	0	0
Ssr2	113.25	453	0	0	0	0
Lrrc47	113.25	453	0	0	0	0
Ttf1	113.0	337	115	0	0	0
Gtpbp4	113.0	452	0	0	0	0
Abcb10	113.0	315	137	0	0	0
Gm3448	112.75	381	70	0	0	0
Gm3417	112.75	381	70	0	0	0
Chordc1	112.75	236	215	0	0	0
Gga1	112.5	335	115	0	0	0
