Target_genes	Thra|Average	SRX14934614|Brown_adipose_tissue	SRX150787|C17-2	SRX22612657|MC3T3-E1	STRING
Cenpa	69.666667	209	0	0	0
Retreg1	69.333333	208	0	0	0
Zfp703	69.0	207	0	0	0
Mrpl36	69.0	207	0	0	0
Uqcrq	68.666667	206	0	0	0
Socs3	68.666667	206	0	0	0
Leap2	68.666667	206	0	0	0
Eif4e3	68.666667	206	0	0	0
Sertad2	68.0	204	0	0	0
Rtp1	68.0	204	0	0	0
Prox2	68.0	204	0	0	0
Dlst	68.0	204	0	0	0
Atp1a2	68.0	204	0	0	0
Apln	68.0	204	0	0	0
Fabp3	67.666667	203	0	0	0
Orm3	67.333333	202	0	0	0
Mfsd2a	67.333333	0	202	0	0
Fam180a	67.333333	0	202	0	0
Eprs	67.333333	202	0	0	0
Clca4a	67.333333	0	202	0	0
Rcc2	67.0	201	0	0	0
Rab12	66.666667	200	0	0	0
Xrcc6	66.333333	199	0	0	0
Sdhaf4	66.333333	199	0	0	0
Fhit	66.333333	199	0	0	0
Desi1	66.333333	199	0	0	0
Twsg1	66.0	198	0	0	0
Mrps36	65.666667	197	0	0	0
Lsm1	65.666667	197	0	0	0
Bag4	65.666667	197	0	0	0
Lrrc75b	65.333333	0	196	0	0
Itpka	65.333333	196	0	0	0
Ggt1	65.333333	0	196	0	0
Adipor2	65.333333	196	0	0	0
Kifc1	65.0	195	0	0	0
Atp1b1	65.0	195	0	0	0
Alas1	65.0	195	0	0	0
Hsdl2	64.333333	193	0	0	0
Atxn2	64.333333	193	0	0	0
Stk11	64.0	192	0	0	0
Tmem41b	63.666667	191	0	0	0
Sema4b	63.666667	191	0	0	0
Lman2	63.666667	191	0	0	0
Bri3	63.666667	191	0	0	0
Map3k4	63.333333	190	0	0	0
Fmn2	63.333333	190	0	0	0
Tbc1d4	63.0	0	189	0	0
Prkdc	63.0	0	189	0	0
Mme	63.0	189	0	0	0
Cep126	63.0	189	0	0	0
Camta2	63.0	189	0	0	0
Txndc12	62.333333	187	0	0	0
Tmco4	62.333333	187	0	0	0
Sbno2	62.333333	187	0	0	0
Rhpn2	62.333333	187	0	0	0
Kcnj15	62.333333	187	0	0	0
Btf3l4	62.333333	187	0	0	0
Ppdpf	61.666667	185	0	0	0
Gm829	61.666667	0	185	0	0
Zfp36l2	61.333333	184	0	0	0
Slc25a15	61.333333	184	0	0	0
Opa3	61.333333	184	0	0	0
Ogdh	61.333333	184	0	0	0
Nup188	61.333333	184	0	0	0
Ndufs4	61.333333	184	0	0	0
Dolk	61.333333	184	0	0	0
Cox5a	61.333333	184	0	0	0
Cntfr	60.666667	182	0	0	0
1810055G02Rik	60.666667	0	182	0	0
Mul1	60.333333	181	0	0	0
Krtap4-1	60.333333	0	181	0	0
Gm11562	60.333333	0	181	0	0
Dsc2	60.333333	181	0	0	0
Ccl27a	60.333333	181	0	0	0
Vwa8	60.0	180	0	0	0
Tctn1	60.0	180	0	0	0
Rnmt	60.0	180	0	0	0
Pla2g6	60.0	180	0	0	0
Fam210a	60.0	180	0	0	0
Slc26a6	59.666667	179	0	0	0
Hip1	59.666667	179	0	0	0
Hectd2	59.666667	179	0	0	0
Gstt3	59.666667	179	0	0	0
Cox14	59.666667	0	179	0	0
Acaa2	59.333333	178	0	0	0
Osbpl1a	59.0	177	0	0	0
Olfr544	59.0	0	177	0	0
Itgbl1	59.0	0	177	0	0
Asmt	59.0	0	177	0	0
Lactb2	58.666667	176	0	0	0
Aldoart2	58.666667	0	176	0	0
Slc25a48	58.333333	175	0	0	0
Rbck1	58.333333	175	0	0	0
Tnk2	57.666667	173	0	0	0
Tex45	57.666667	173	0	0	0
Sun1	57.666667	173	0	0	0
Pex11g	57.666667	173	0	0	0
Bsg	57.666667	173	0	0	0
Aspg	57.666667	173	0	0	0
Arl4c	57.666667	173	0	0	0
Pla2g12a	57.333333	172	0	0	0
C2cd5	57.333333	172	0	0	0
Zfp512	57.0	171	0	0	0
Tomt	57.0	171	0	0	0
Tmem135	57.0	171	0	0	0
Slc39a7	57.0	171	0	0	0
Rxrb	57.0	171	0	0	0
Prkab1	57.0	171	0	0	0
Mbd6	57.0	171	0	0	0
Lamtor1	57.0	171	0	0	0
H2-Ke6	57.0	171	0	0	0
Ddit3	57.0	171	0	0	0
B2m	57.0	171	0	0	0
Tmem222	56.666667	170	0	0	0
Plbd1	56.666667	170	0	0	0
Mat2a	56.666667	170	0	0	0
Zyg11b	56.333333	169	0	0	0
Zmym5	56.333333	169	0	0	0
Zfp654	56.0	168	0	0	0
Uqcrc2	56.0	168	0	0	0
Cggbp1	56.0	168	0	0	0
Usp5	55.666667	167	0	0	0
Rel	55.666667	167	0	0	0
Ptpdc1	55.666667	167	0	0	0
Pithd1	55.666667	167	0	0	0
Fam20a	55.666667	0	167	0	0
Cyp2f2	55.666667	167	0	0	0
Cdca3	55.666667	167	0	0	0
4931406C07Rik	55.666667	167	0	0	0
Vgll4	55.0	165	0	0	0
Txnip	55.0	165	0	0	0
Tbl1xr1	55.0	165	0	0	0
Rs1	55.0	165	0	0	0
Rps6ka5	55.0	165	0	0	0
Irf4	55.0	165	0	0	0
Hibch	55.0	165	0	0	0
Hccs	55.0	165	0	0	0
Gm15246	55.0	165	0	0	0
Limd1	54.666667	0	164	0	0
Bend3	54.333333	163	0	0	0
Them4	54.0	162	0	0	0
Pus7l	54.0	162	0	0	0
Pparg	54.0	162	0	0	0
Irak4	54.0	162	0	0	0
Ubiad1	53.666667	161	0	0	0
Mtor	53.666667	161	0	0	0
Rgl3	53.333333	160	0	0	0
Ocstamp	53.333333	160	0	0	0
Marchf6	53.333333	0	160	0	0
Hk2	53.333333	160	0	0	0
Hcn3	53.333333	160	0	0	0
Tpo	53.0	159	0	0	0
Gadd45a	53.0	159	0	0	0
Cebpg	53.0	159	0	0	0
Cdk17	53.0	0	159	0	0
Sufu	52.666667	158	0	0	0
Rsad1	52.666667	158	0	0	0
Rcan1	52.666667	158	0	0	0
Actr1a	52.666667	158	0	0	0
Taf13	52.333333	0	157	0	0
Slc6a6	52.333333	0	157	0	0
Tle6	52.0	156	0	0	0
Myo5c	52.0	156	0	0	0
Macroh2a1	52.0	156	0	0	0
Ino80e	52.0	156	0	0	0
Hirip3	52.0	156	0	0	0
H2ap	52.0	156	0	0	0
H2al3	52.0	156	0	0	0
G6pc	52.0	156	0	0	0
Egr1	52.0	156	0	0	0
C3	52.0	156	0	0	0
Angptl4	52.0	156	0	0	0
Amn1	52.0	156	0	0	0
Acsl1	52.0	156	0	0	0
Acox2	52.0	0	156	0	0
2310061I04Rik	52.0	156	0	0	0
Tns4	51.666667	0	155	0	0
Capg	51.666667	0	155	0	0
Zfp691	51.333333	154	0	0	0
Trappc3	51.333333	154	0	0	0
Synpo	51.333333	154	0	0	0
Mpc1	51.333333	154	0	0	0
Map7d1	51.333333	154	0	0	0
Zbtb9	51.0	0	153	0	0
Ptpn23	51.0	0	153	0	0
Mast2	51.0	0	153	0	0
Kmt5c	51.0	153	0	0	0
Itih4	51.0	153	0	0	0
Angptl2	51.0	153	0	0	0
Tmem218	50.666667	152	0	0	0
Slc25a22	50.666667	152	0	0	0
Pygl	50.666667	152	0	0	0
Cend1	50.666667	152	0	0	0
Picalm	50.333333	151	0	0	0
Prss36	50.0	150	0	0	0
Mgat1	50.0	150	0	0	0
Them6	49.666667	149	0	0	0
Kcmf1	49.666667	149	0	0	0
Cpsf4l	49.666667	149	0	0	0
Aifm2	49.666667	149	0	0	0
Klhl33	49.0	147	0	0	0
Fam222a	49.0	147	0	0	0
Cfap54	48.666667	146	0	0	0
Arsa	48.666667	146	0	0	0
Sox7	48.333333	145	0	0	0
H2bc6	48.333333	145	0	0	0
H1f4	48.333333	145	0	0	0
