Target_genes	Elf4|Average	SRX2242847|Macrophages	SRX2242848|Macrophages	SRX2242849|Macrophages	SRX2242850|Macrophages	STRING
Tmem184c	1489.5	1521	386	2324	1727	0
Zc3h4	1488.0	1718	356	2074	1804	0
Ccdc97	1487.0	1424	440	2303	1781	0
Nans	1486.25	1465	194	2781	1505	0
Rfc3	1482.75	1793	256	2277	1605	0
Lrrc49	1482.25	1615	256	2241	1817	0
Nr4a1	1481.25	1615	308	2492	1510	0
Pigu	1479.0	1942	346	2062	1566	0
Atp1a3	1479.0	1756	134	2454	1572	0
Rangap1	1478.75	1631	256	2461	1567	0
Irf7	1477.5	1347	224	1898	2441	0
Cnot10	1477.25	1960	736	1980	1233	0
Sf3b2	1477.0	1584	345	2237	1742	0
Gal3st3	1477.0	1584	345	2237	1742	0
M6pr	1476.5	1918	318	2267	1403	0
Rpl17	1475.0	3351	0	1658	891	0
Isca1	1475.0	1949	464	2169	1318	0
Trmt10b	1472.75	1413	247	2171	2060	0
Tnpo3	1468.0	1496	446	2218	1712	0
Tmem59	1467.25	2901	738	1435	795	0
Tceanc2	1467.25	2901	738	1435	795	0
Nmt1	1466.75	1624	357	2266	1620	0
Tbce	1465.5	1584	402	2132	1744	0
Egf	1465.5	1481	155	2063	2163	0
Gm10509	1463.75	1480	317	2402	1656	0
Ehmt2	1462.25	1601	440	2319	1489	0
Zfp58	1461.75	1556	262	2346	1683	0
Zfp780b	1457.75	1538	278	2297	1718	0
Ppp6c	1456.25	1706	241	2376	1502	0
C87436	1456.25	1719	345	2011	1750	0
Tmem186	1455.75	1927	365	2127	1404	0
Pmm2	1455.75	1927	365	2127	1404	0
Slx4ip	1455.5	1879	375	2113	1455	0
Mkks	1455.5	1879	375	2113	1455	0
Tcam1	1454.0	1995	544	2234	1043	0
Smarcd2	1454.0	1995	544	2234	1043	0
Zmynd8	1453.5	1936	438	2082	1358	0
Edem3	1449.5	2291	516	1814	1177	0
Sec11a	1448.5	1845	402	2002	1545	0
Zfp512	1447.0	1719	387	2011	1671	0
Psmb3	1447.0	1518	331	2302	1637	0
Pcgf2	1447.0	1518	331	2302	1637	0
Rhbdf1	1446.75	1521	254	2392	1620	0
Mpg	1446.75	1521	254	2392	1620	0
Dhx8	1446.5	1546	473	2244	1523	0
Cbll1	1446.5	2097	387	1971	1331	0
Ubl7	1446.25	2198	397	1678	1512	0
Tada3	1446.0	2278	369	1970	1167	0
Arpc4	1446.0	2278	369	1970	1167	0
Timm21	1444.5	1418	137	2441	1782	0
Fbxo15	1444.5	1418	137	2441	1782	0
Gm51425	1443.75	1738	173	2135	1729	0
Washc1	1443.0	2443	493	1940	896	0
Scfd2	1441.75	1957	385	2186	1239	0
Fip1l1	1441.75	1957	385	2186	1239	0
Cox5b	1441.5	2741	809	1624	592	0
Sipa1	1441.0	1838	315	2204	1407	0
Hsph1	1441.0	1902	385	1980	1497	0
Copb2	1439.0	2167	438	2072	1079	0
Rwdd2b	1438.25	2386	465	2236	666	0
Pyroxd1	1437.0	1933	526	2010	1279	0
Nadsyn1	1435.75	2465	421	2128	729	0
Dhcr7	1435.75	2465	421	2128	729	0
Tmem209	1435.25	1815	412	2087	1427	0
Ssmem1	1435.25	1815	412	2087	1427	0
Bin3	1434.5	2123	597	1932	1086	0
Sars2	1433.0	1467	239	2218	1808	0
Mrps12	1433.0	1467	239	2218	1808	0
Usp38	1431.5	1490	396	2174	1666	0
Anapc15	1431.25	1427	382	2194	1722	0
Lrrc51	1430.75	1626	441	2067	1589	0
Ten1	1429.75	1811	248	2367	1293	0
Acox1	1429.75	1811	248	2367	1293	0
Vps52	1427.0	1217	343	2221	1927	0
Rps18	1427.0	1217	343	2221	1927	0
B3galt4	1427.0	1217	343	2221	1927	0
Mad2l1bp	1423.0	1596	275	2096	1725	0
Spg21	1422.75	3007	1064	1021	599	0
