	source	target	weight	p_value
112934	PI3K	GARIN1A	-2.3443966	1.167736e-09
112935	PI3K	DCSTAMP	2.3647485	1.1724453e-09
112936	PI3K	SLC25A45	-3.7962675	1.184698e-09
112937	PI3K	STK32A	-3.502994	1.1901123e-09
112938	PI3K	DPH5	-3.3570542	1.2164137e-09
112939	PI3K	ZNF581	-6.244285	1.2168304e-09
112940	PI3K	G3BP2	3.2452772	1.2438186e-09
112941	PI3K	CNNM3	-2.9315617	1.2463242e-09
112942	PI3K	SRP19	3.6214614	1.264506e-09
112943	PI3K	RNF32-DT	-2.6411664	1.2783123e-09
112944	PI3K	PALM	-2.5118997	1.3416661e-09
112945	PI3K	NSMCE1	-4.371383	1.3434545e-09
112946	PI3K	C9orf85	-2.137006	1.3460724e-09
112947	PI3K	FAM241B	-2.776906	1.3462644e-09
112948	PI3K	FTSJ3	3.104078	1.4216408e-09
112949	PI3K	GLRX2	5.047588	1.4677796e-09
112950	PI3K	PTGIS	-2.7730105	1.4969072e-09
112951	PI3K	SMAP2	4.0506907	1.5111188e-09
112952	PI3K	PDK2	-3.5350614	1.5151137e-09
112953	PI3K	PROCA1	-1.4843102	1.5171036e-09
112954	PI3K	FAM161B	-2.3382447	1.5242774e-09
112955	PI3K	DELE1	-1.9017586	1.5292827e-09
112956	PI3K	DIRAS3	4.179303	1.5451359e-09
112957	PI3K	PNPLA2	-2.0846941	1.5625263e-09
112958	PI3K	BEX2	-5.970348	1.5784506e-09
112959	PI3K	PHF7	-1.6935259	1.6094536e-09
112960	PI3K	ZCCHC10	2.857493	1.6481799e-09
112961	PI3K	ULK1	-4.508065	1.6685255e-09
112962	PI3K	LYPLAL1	-4.5469713	1.685318e-09
112963	PI3K	PPID	2.756754	1.6996612e-09
112964	PI3K	LOXL3	3.523766	1.7417908e-09
112965	PI3K	ZNF316	-1.5365467	1.8420483e-09
112966	PI3K	WDR19	-2.7350502	1.8585522e-09
112967	PI3K	TUBB2A	8.48907	1.8669137e-09
112968	PI3K	APBA2	-2.3326309	1.8956245e-09
112969	PI3K	GSTO2	-2.7015297	1.8963247e-09
112970	PI3K	RPL30	-1.8150313	1.9003443e-09
