"tf"	"confidence"	"target"	"mor"
"485"	"ADNP2"	"E"	"DDX47"	1
"486"	"ADNP2"	"E"	"DENND2C"	1
"487"	"ADNP2"	"E"	"DHX15"	1
"488"	"ADNP2"	"E"	"DHX36"	1
"489"	"ADNP2"	"E"	"DHX8"	1
"490"	"ADNP2"	"E"	"DIABLO"	1
"491"	"ADNP2"	"E"	"DIS3"	1
"492"	"ADNP2"	"E"	"DIS3L2"	1
"493"	"ADNP2"	"E"	"DNTTIP2"	1
"494"	"ADNP2"	"E"	"EAF1"	1
"495"	"ADNP2"	"E"	"EBLN2"	1
"496"	"ADNP2"	"E"	"EIF4A1"	1
"497"	"ADNP2"	"E"	"EIF5"	1
"498"	"ADNP2"	"E"	"ELL"	1
"499"	"ADNP2"	"E"	"ELL2"	1
"500"	"ADNP2"	"E"	"EMG1"	1
"501"	"ADNP2"	"E"	"EOGT"	1
"502"	"ADNP2"	"E"	"ERVK3-1"	1
"503"	"ADNP2"	"E"	"ETV3"	1
"504"	"ADNP2"	"E"	"EXOC8"	1
"505"	"ADNP2"	"E"	"FAF2"	1
"506"	"ADNP2"	"E"	"FAM189B"	1
"507"	"ADNP2"	"E"	"FAM91A1"	1
"508"	"ADNP2"	"E"	"FASTKD2"	1
"509"	"ADNP2"	"E"	"FEM1C"	1
"510"	"ADNP2"	"E"	"FKTN"	1
"511"	"ADNP2"	"E"	"FNBP4"	1
"512"	"ADNP2"	"E"	"FNIP1"	1
"513"	"ADNP2"	"E"	"FNIP2"	1
"514"	"ADNP2"	"E"	"FOSL2"	1
"515"	"ADNP2"	"E"	"FOXJ3"	1
"516"	"ADNP2"	"E"	"GAPVD1"	1
"517"	"ADNP2"	"E"	"GATAD2B"	1
"518"	"ADNP2"	"E"	"GK"	1
"519"	"ADNP2"	"E"	"GMEB2"	1
"520"	"ADNP2"	"E"	"GON4L"	1
"521"	"ADNP2"	"E"	"GTPBP1"	1
"522"	"ADNP2"	"E"	"GTPBP4"	1
"523"	"ADNP2"	"E"	"H1-0"	1
"524"	"ADNP2"	"E"	"H1-10"	1
"525"	"ADNP2"	"E"	"H3-3B"	1
"526"	"ADNP2"	"E"	"HAUS2"	1
"527"	"ADNP2"	"E"	"HIPK1"	1
"528"	"ADNP2"	"E"	"HNRNPA0"	1
"529"	"ADNP2"	"E"	"HNRNPL"	1
"530"	"ADNP2"	"E"	"HTRA2"	1
"531"	"ADNP2"	"E"	"IARS1"	1
"532"	"ADNP2"	"E"	"IKZF5"	1
"533"	"ADNP2"	"E"	"IST1"	1
"534"	"ADNP2"	"E"	"JARID2"	1
"535"	"ADNP2"	"E"	"KDM5A"	1
"536"	"ADNP2"	"E"	"KDM5B"	1
"537"	"ADNP2"	"E"	"KDM7A"	1
"538"	"ADNP2"	"E"	"LAMTOR2"	1
"539"	"ADNP2"	"E"	"LARP4"	1
"540"	"ADNP2"	"E"	"LARP4B"	1
"541"	"ADNP2"	"E"	"LEMD3"	1
"542"	"ADNP2"	"E"	"LIG3"	1
"543"	"ADNP2"	"E"	"LMTK2"	1
"544"	"ADNP2"	"E"	"LONRF1"	1
"545"	"ADNP2"	"E"	"LRRC40"	1
"546"	"ADNP2"	"E"	"LRRC8B"	1
"547"	"ADNP2"	"E"	"LRRFIP2"	1
"548"	"ADNP2"	"E"	"LUC7L2"	1
"549"	"ADNP2"	"E"	"MAP2K4"	1
