Target_genes	Patz1|Average	SRX20088451|ES_cells	SRX20088452|ES_cells	SRX20088453|ES_cells	SRX20088454|ES_cells	STRING
Axin2	162.250000	451	198	0	0	0
Barhl1	162.000000	426	222	0	0	0
Bcl2l11	161.750000	206	441	0	0	0
Bcat2	161.750000	388	259	0	0	0
Slc25a1	161.500000	374	272	0	0	0
Tmem198	161.000000	291	353	0	0	0
Sos1	161.000000	370	274	0	0	0
Sfmbt1	161.000000	286	358	0	0	0
Pskh1	161.000000	350	294	0	0	0
Dab2ip	161.000000	318	326	0	0	0
Chpf	161.000000	291	353	0	0	0
Blmh	161.000000	305	339	0	0	0
Nckap5l	160.250000	436	205	0	0	0
6820408C15Rik	160.250000	220	421	0	0	0
Mcph1	160.000000	347	293	0	0	0
Lama5	160.000000	318	322	0	0	0
Irs2	160.000000	376	264	0	0	0
Jakmip1	159.750000	332	307	0	0	0
Ptk7	159.500000	329	309	0	0	0
Irf2bpl	159.500000	286	352	0	0	0
Golga3	159.250000	312	325	0	0	0
Trps1	159.000000	329	307	0	0	0
Bahcc1	159.000000	0	636	0	0	0
Tfeb	158.750000	327	308	0	0	0
Dpy19l4	158.750000	242	393	0	0	0
Dctn6	158.500000	396	238	0	0	0
Nras	158.250000	202	431	0	0	0
Dnajc6	158.250000	319	314	0	0	0
Spcs3	158.000000	262	370	0	0	0
Zfyve9	157.750000	244	387	0	0	0
Pmepa1	157.750000	286	345	0	0	0
Rpsa	157.500000	378	252	0	0	0
Rcor1	157.500000	332	298	0	0	0
N4bp3	157.500000	223	407	0	0	0
Mrpl2	157.500000	421	209	0	0	0
Klc4	157.500000	421	209	0	0	0
Cul7	157.500000	421	209	0	0	0
Tcf7l1	157.250000	398	231	0	0	0
Itgb7	157.250000	379	250	0	0	0
Lrp3	157.000000	296	332	0	0	0
Ccnjl	156.750000	261	366	0	0	0
Ticam1	156.500000	398	228	0	0	0
Syngr1	156.500000	277	349	0	0	0
Cpne2	156.500000	316	310	0	0	0
Nde1	155.750000	282	341	0	0	0
Marf1	155.750000	282	341	0	0	0
Rfx7	155.250000	244	377	0	0	0
Mtss2	154.500000	225	393	0	0	0
Fam168a	154.500000	336	282	0	0	0
Thbs3	154.250000	320	297	0	0	0
Mtx1	154.250000	320	297	0	0	0
Efna2	154.250000	351	266	0	0	0
Trp53inp2	154.000000	263	353	0	0	0
Rundc3a	154.000000	299	317	0	0	0
Cadm1	154.000000	333	283	0	0	0
Phf23	153.750000	349	266	0	0	0
Gabarap	153.750000	349	266	0	0	0
Gse1	153.500000	318	296	0	0	0
Phyh	153.250000	379	234	0	0	0
Kcnk12	153.250000	268	345	0	0	0
Dars	153.000000	256	356	0	0	0
Hnrnpul1	152.750000	230	381	0	0	0
Fam222a	152.750000	372	239	0	0	0
Chrm4	152.750000	308	303	0	0	0
Atxn7l2	152.750000	253	358	0	0	0
Tagln2	152.500000	387	223	0	0	0
Calr	152.500000	238	372	0	0	0
Pemt	152.250000	243	366	0	0	0
Pdss2	152.250000	306	303	0	0	0
Id3	152.250000	303	306	0	0	0
Jak2	151.750000	161	446	0	0	0
Ubr4	151.500000	273	333	0	0	0
Sertad1	151.500000	324	282	0	0	0
Ap1g1	151.250000	292	313	0	0	0
Sfi1	151.000000	206	398	0	0	0
Mgat4f	151.000000	314	290	0	0	0
Lrrc8d	151.000000	272	332	0	0	0
Zrsr2	150.750000	197	406	0	0	0
Rhobtb3	150.750000	382	221	0	0	0
