Target_genes	Dbp|Average	DRX178619|Liver	DRX178621|Liver	DRX178627|Liver	DRX178629|Liver	STRING
Frmd8	806.750000	671	360	214	1982	0
Tmem268	805.750000	900	623	501	1199	0
Nphs1	804.000000	1035	753	464	964	0
Ccl9	804.000000	871	732	520	1093	0
S100a10	803.500000	930	693	524	1067	0
Nfx1	802.500000	857	573	545	1235	0
Smlr1	801.500000	910	841	601	854	0
Tjp1	801.250000	796	727	552	1130	0
Per2	800.500000	804	526	669	1203	0
Raph1	798.500000	935	688	521	1050	0
Phf14	797.250000	524	678	733	1254	0
Gvin1	796.250000	888	707	461	1129	0
Gm4070	796.250000	888	707	461	1129	0
Slc44a1	795.500000	1075	606	503	998	0
Lcorl	795.250000	585	214	280	2102	0
Zfp960	795.000000	688	518	589	1385	0
Slc25a37	795.000000	596	532	410	1642	0
Ccdc166	793.750000	771	274	0	2130	0
Zbtb44	792.500000	870	610	636	1054	0
Psme1	792.250000	1038	775	435	921	0
Fitm1	792.250000	1038	775	435	921	0
Fmo3	788.500000	874	654	410	1216	0
Hipk1	787.750000	995	533	521	1102	0
Cep20	787.750000	383	274	311	2183	0
Rbm12b1	787.250000	934	537	633	1045	0
Gpx1	786.500000	739	625	754	1028	0
Abhd11	786.000000	662	271	493	1718	0
Alg10b	785.500000	279	404	271	2188	0
Csad	784.750000	623	371	827	1318	0
Lonp2	783.000000	774	650	521	1187	0
Hsd3b3	782.500000	797	640	558	1135	0
Serpina5	781.000000	928	414	661	1121	0
Plg	780.750000	974	684	479	986	0
Saa1	780.250000	979	796	531	815	0
Lpin2	780.000000	798	537	536	1249	0
Gbp2	778.250000	996	546	546	1025	0
Ptcd1	777.000000	668	175	181	2084	0
Cpsf4	777.000000	668	175	181	2084	0
Nt5c3	776.750000	751	516	444	1396	0
Slc15a5	776.500000	997	613	513	983	0
Cyp2d9	776.250000	888	567	486	1164	0
Trim11	775.250000	577	412	470	1642	0
Cyp2d40	775.250000	815	590	584	1112	0
Cox5a	774.500000	876	559	520	1143	0
Mettl7b	773.750000	653	596	639	1207	0
Snx18	773.000000	777	501	529	1285	0
Hikeshi	772.750000	785	334	579	1393	0
Rab43	771.000000	662	420	546	1456	0
Uso1	769.750000	242	204	544	2089	0
G3bp2	769.750000	242	204	544	2089	0
Auts2	769.750000	739	590	550	1200	0
Nedd8	769.000000	542	307	488	1739	0
Gmpr2	769.000000	542	307	488	1739	0
Pctp	766.000000	909	547	634	974	0
Taf6	765.250000	576	417	585	1483	0
Cnpy4	765.250000	576	417	585	1483	0
Lipc	765.000000	738	481	716	1125	0
Alad	765.000000	960	585	501	1014	0
Isoc2b	763.250000	906	560	677	910	0
Ptpmt1	762.000000	1242	772	308	726	0
2610001J05Rik	761.750000	833	481	518	1215	0
Arl13b	759.500000	791	651	680	916	0
Tcstv3	758.250000	700	233	1092	1008	0
Sptlc2	756.750000	580	513	658	1276	0
Ddx42	756.250000	415	215	375	2020	0
Ccdc47	756.250000	415	215	375	2020	0
Ces1c	755.750000	850	643	521	1009	0
Trappc1	754.750000	536	235	269	1979	0
Kcnab3	754.750000	536	235	269	1979	0
Cntrob	754.750000	536	235	269	1979	0
Strn3	753.500000	1003	815	322	874	0
Sh3glb1	753.500000	869	444	519	1182	0
Fbxo3	753.500000	780	648	424	1162	0
Ap4s1	753.500000	1003	815	322	874	0
4931422A03Rik	753.500000	780	648	424	1162	0
Zfp97	753.250000	673	425	590	1325	0
Rnf187	753.000000	288	264	678	1782	0
Gabarapl1	751.750000	798	806	360	1043	0
Tbcel	751.250000	679	382	498	1446	0
Slc13a4	751.000000	770	518	457	1259	0
Ebpl	750.500000	1059	479	304	1160	0
Txndc5	750.250000	684	501	557	1259	0
Crebl2	745.750000	942	510	410	1121	0
Aspa	745.000000	932	608	443	997	0
Pgap1	744.000000	902	781	454	839	0
Gm34653	743.750000	791	574	436	1174	0
Fbxw2	743.750000	791	574	436	1174	0
Il1rl1	743.000000	639	571	398	1364	0
Arid4a	741.500000	875	431	424	1236	0
Epc1	741.250000	755	483	529	1198	0
Irf2	740.000000	816	608	520	1016	0
Cyp2c50	739.000000	576	655	785	940	0
Prss46	738.000000	846	624	490	992	0
Got1	738.000000	868	604	414	1066	0
Rab21	736.250000	763	442	497	1243	0
Adnp	735.750000	350	176	188	2229	0
Dusp1	732.500000	858	298	602	1172	0
Ggt7	730.750000	670	290	436	1527	0
Acss2	730.750000	670	290	436	1527	0
Cyp4f17	729.750000	824	508	382	1205	0
Mlx	729.000000	808	462	430	1216	0
Hsd17b1	729.000000	808	462	430	1216	0
Coasy	729.000000	808	462	430	1216	0
Vwa1	728.250000	633	491	496	1293	0
Brap	727.750000	755	461	433	1262	0
Acad10	727.750000	755	461	433	1262	0
Defb1	727.000000	739	480	530	1159	0
Cfhr2	720.500000	872	302	679	1029	0
Rhbdd3	720.250000	622	631	421	1207	0
Ewsr1	720.250000	622	631	421	1207	0
