Target_genes	Spib|Average	SRX556710|WEHI-279	SRX556711|WEHI-279	STRING
Aif1	87.500000	175	0	0
Tuft1	87.000000	0	174	0
Noxred1	87.000000	174	0	0
Dnajc16	87.000000	174	0	0
Casp9	87.000000	174	0	0
Atf7ip	87.000000	174	0	0
Zfp319	86.500000	173	0	0
Usb1	86.500000	173	0	0
Twf2	86.500000	173	0	0
Ppm1m	86.500000	173	0	0
Egr1	86.500000	173	0	0
Aebp2	86.500000	173	0	0
Lims1	86.000000	172	0	0
4930402F06Rik	86.000000	172	0	0
Cytip	85.500000	171	0	0
Cenpa	85.500000	171	0	0
Rgs14	85.000000	170	0	0
Nip7	85.000000	170	0	0
Gm8165	85.000000	170	0	0
Cog8	85.000000	170	0	0
Stab1	84.500000	169	0	0
Prepl	84.500000	0	169	0
Map2k1	84.500000	169	0	0
Gpd2	84.500000	169	0	0
Camkmt	84.500000	0	169	0
Ubxn11	84.000000	168	0	0
Tmem115	84.000000	168	0	0
Sstr2	84.000000	168	0	0
Speer4f2	84.000000	168	0	0
Rraga	84.000000	168	0	0
Psd4	84.000000	168	0	0
Nphs2	84.000000	168	0	0
Ier3ip1	84.000000	168	0	0
H4f16	84.000000	64	104	0
H2aj	84.000000	64	104	0
Dpep2	84.000000	0	168	0
Cdkl4	84.000000	168	0	0
Catsperg1	84.000000	168	0	0
Asnsd1	84.000000	168	0	0
Asdurf	84.000000	168	0	0
Mns1	83.000000	166	0	0
Bcl2a1a	83.000000	0	166	0
Gm11634	82.500000	165	0	0
Adora2a	82.500000	165	0	0
Rasl10a	82.000000	164	0	0
Mavs	82.000000	164	0	0
Itga4	82.000000	164	0	0
H2-Eb1	82.000000	164	0	0
Fli1	82.000000	164	0	0
Uts2b	81.500000	163	0	0
Slfn9	81.500000	163	0	0
Glg1	81.000000	84	78	0
Ehd1	81.000000	162	0	0
Uba52	80.500000	161	0	0
Sppl2a	80.500000	0	161	0
Rsbn1l	80.500000	161	0	0
Il10	80.500000	161	0	0
Crlf3	80.500000	161	0	0
Cmpk1	80.500000	161	0	0
Atad5	80.500000	161	0	0
Ankrd42	80.500000	0	161	0
Tpr	80.000000	160	0	0
Kremen2	80.000000	160	0	0
Bola1	80.000000	160	0	0
Tmem150c	79.500000	159	0	0
Mxd1	79.500000	159	0	0
Gm21761	79.500000	159	0	0
Cyp46a1	79.500000	159	0	0
Cryba2	79.500000	159	0	0
Btc	79.500000	159	0	0
Tcf24	79.000000	158	0	0
Olfr1509	79.000000	158	0	0
Cplx2	79.000000	158	0	0
Sptbn4	78.500000	157	0	0
P2ry12	78.500000	157	0	0
Ikzf1	78.500000	157	0	0
Enthd1	78.500000	157	0	0
Blvrb	78.500000	157	0	0
Arhgap17	78.500000	157	0	0
Apbb1ip	78.500000	98	59	0
Slc6a6	78.000000	156	0	0
Dnajc24	78.000000	0	156	0
Wipf1	77.500000	155	0	0
Plcg2	77.500000	155	0	0
Fcmr	77.500000	155	0	0
Patz1	77.000000	154	0	0
Sgk3	76.500000	153	0	0
Ptbp3	76.500000	153	0	0
Fam3c	76.500000	153	0	0
Wtap	76.000000	152	0	0
Wfdc21	76.000000	152	0	0
Tfb2m	76.000000	152	0	0
Ssbp4	76.000000	0	152	0
Gm7827	76.000000	152	0	0
Cnst	76.000000	152	0	0
Dnal1	75.500000	151	0	0
Ccdc170	75.500000	151	0	0
Abraxas2	75.500000	151	0	0
Pptc7	75.000000	150	0	0
Phlpp2	75.000000	150	0	0
Hinfp	75.000000	150	0	0
Hcar2	75.000000	150	0	0
Tph2	74.500000	149	0	0
Stc2	74.500000	149	0	0
Runx3	74.500000	149	0	0
Rassf1	74.500000	149	0	0
Prss21	74.500000	149	0	0
Mettl7a1	74.500000	149	0	0
Lrrc69	74.500000	149	0	0
Itprip	74.500000	149	0	0
Gtpbp3	74.500000	149	0	0
Diablo	74.500000	149	0	0
Ctse	74.500000	149	0	0
Chgb	74.500000	149	0	0
Ano8	74.500000	149	0	0
Afap1l2	74.500000	149	0	0
Tmem43	74.000000	148	0	0
Nsd2	74.000000	148	0	0
Lalba	74.000000	148	0	0
Chchd4	74.000000	148	0	0
Rpl18a	73.500000	147	0	0
Rab35	73.500000	147	0	0
Dthd1	73.500000	147	0	0
Syk	73.000000	146	0	0
Sh2d6	73.000000	146	0	0
Lcor	73.000000	146	0	0
Zfp69	72.500000	145	0	0
Ndc1	72.500000	145	0	0
Mbd5	72.500000	145	0	0
Cd300e	72.500000	145	0	0
Tbl1xr1	72.000000	144	0	0
Slc25a11	72.000000	144	0	0
Rnf167	72.000000	144	0	0
Pfn1	72.000000	144	0	0
Eri1	72.000000	144	0	0
Dux	71.500000	0	143	0
Bcr	71.500000	143	0	0
Arhgap26	71.500000	143	0	0
Tmsb10	71.000000	142	0	0
Rnf38	71.000000	142	0	0
Prune1	71.000000	0	142	0
Mindy1	71.000000	0	142	0
Il1b	71.000000	142	0	0
Evi2b	71.000000	142	0	0
