Target_genes	E2f1|Average	SRX122390|Dendritic_Cells	SRX122391|Dendritic_Cells	SRX122392|Dendritic_Cells	SRX122393|Dendritic_Cells	SRX2897262|ES_cells	SRX2897263|ES_cells	SRX1334844|Hepatocytes	SRX1120752|MEF	SRX1120755|MEF	STRING
Dido1	77.888889	0	0	0	0	294	209	198	0	0	0
Cep295	77.888889	0	0	0	0	199	183	319	0	0	0
Pknox1	77.777778	0	0	0	0	453	247	0	0	0	0
Alg8	77.777778	0	0	0	0	0	0	700	0	0	0
Pura	77.666667	0	0	0	0	454	245	0	0	0	0
Fuom	77.555556	0	0	0	0	0	0	698	0	0	0
Utp14b	77.444444	0	0	0	0	240	287	170	0	0	0
Msh5	77.444444	0	0	0	0	0	0	697	0	0	0
Ivns1abp	77.444444	0	0	0	0	476	221	0	0	0	0
Dennd5a	77.444444	0	0	0	0	485	212	0	0	0	0
Clic1	77.444444	0	0	0	0	0	0	697	0	0	0
Acsl3	77.444444	0	0	0	0	240	287	170	0	0	0
Ints6	77.333333	0	0	0	0	457	239	0	0	0	0
Esr1	77.333333	440	0	256	0	0	0	0	0	0	0
Chic2	77.333333	0	0	0	0	507	189	0	0	0	0
Ywhaz	77.222222	0	0	0	0	325	370	0	0	0	0
Tjp2	77.222222	0	0	0	0	282	231	182	0	0	0
Smad2	77.222222	0	0	0	0	479	216	0	0	0	0
Pskh1	77.222222	0	0	0	0	454	241	0	0	0	0
Lrrc47	77.222222	0	0	0	0	474	221	0	0	0	0
Gna11	77.222222	0	0	0	0	409	193	93	0	0	0
Cep128	77.222222	0	0	0	0	0	0	695	0	0	0
1600014C23Rik	77.222222	0	0	0	0	355	240	100	0	0	0
