Target_genes	Lhx2|Average	SRX11976466|Cerebral_Cortex	SRX310225|Dermal_fibroblasts	SRX310227|Dermal_fibroblasts	SRX310229|Dermal_fibroblasts	SRX2487346|Olfactory_Nerve	SRX2487347|Olfactory_Nerve	SRX2487356|Olfactory_Nerve	SRX3064886|Olfactory_Nerve	STRING
Ssc4d	150.500000	0	0	0	0	611	593	0	0	0
Nr6a1	150.375000	0	0	0	0	635	568	0	0	0
Mycbpap	150.375000	0	0	0	0	721	482	0	0	0
Mmgt1	150.375000	0	0	0	0	659	544	0	0	0
Pmm1	150.125000	0	0	0	0	636	565	0	0	0
Podxl2	150.000000	0	0	0	0	686	514	0	0	0
Mon1a	150.000000	0	0	0	0	553	647	0	0	0
Tubg1	149.875000	0	0	0	0	664	535	0	0	0
Retreg3	149.875000	0	0	0	0	664	535	0	0	0
Sdc2	149.375000	0	0	0	0	695	500	0	0	0
Lrch2	148.500000	0	0	0	0	614	574	0	0	0
Zfand2a	148.125000	0	0	0	0	655	530	0	0	0
Nppa	147.875000	0	0	0	0	692	491	0	0	0
Tex35	147.375000	0	0	0	0	579	600	0	0	0
Dnaic2	147.250000	0	0	0	0	637	541	0	0	0
Pla2g2e	147.000000	0	0	0	0	695	481	0	0	0
Pacsin3	146.250000	0	0	0	0	585	585	0	0	0
Zbtb38	145.875000	0	0	0	0	570	597	0	0	0
Emc7	145.000000	0	0	0	0	504	656	0	0	0
Tssc4	143.750000	0	0	0	0	591	559	0	0	0
Cd83	143.500000	0	0	0	0	534	614	0	0	0
Ssh2	143.375000	0	0	0	0	259	888	0	0	0
Prkg1	143.250000	0	0	0	0	684	462	0	0	0
Iqsec1	142.750000	0	0	0	0	528	614	0	0	0
Snrk	142.125000	0	0	0	0	578	559	0	0	0
Pnmal1	141.250000	0	0	0	0	537	593	0	0	0
Atp8b3	140.500000	0	0	0	0	667	457	0	0	0
Mettl16	140.375000	0	0	0	0	549	574	0	0	0
Ciao3	140.250000	0	0	0	0	563	559	0	0	0
Batf2	139.625000	0	0	0	0	626	491	0	0	0
Me1	139.125000	0	0	0	0	255	858	0	0	0
Adipor1	138.875000	0	0	0	0	480	631	0	0	0
Esr1	138.625000	0	176	381	375	0	0	0	177	0
Aanat	138.000000	0	0	0	0	564	540	0	0	0
Txn1	137.875000	0	0	0	0	516	587	0	0	0
Reep3	137.625000	0	0	0	0	547	554	0	0	0
Hmgn3	137.125000	0	0	0	0	544	553	0	0	0
Stox1	136.375000	0	0	0	0	510	581	0	0	0
Ddx5	136.125000	0	0	0	0	476	613	0	0	0
Cep95	136.125000	0	0	0	0	476	613	0	0	0
Dgat2	134.875000	0	0	0	0	560	519	0	0	0
Tmc4	134.750000	0	0	0	0	560	518	0	0	0
Olfr418	134.750000	0	0	0	0	489	589	0	0	0
