Target_genes	Klf9|Average	SRX2185047|Unclassified	SRX2185048|Unclassified	SRX2185049|Unclassified	SRX2185050|Unclassified	SRX2185051|Unclassified	STRING
Irx5	110.800000	0	100	144	171	139	0
Pitpnm1	110.600000	0	106	141	149	157	0
Cdk2ap2	110.600000	0	106	141	149	157	0
Pir	110.200000	0	72	162	140	177	0
Gmip	110.000000	0	106	179	148	117	0
Mocs1	109.800000	0	159	231	0	159	0
Cbfa2t2	109.400000	0	0	184	199	164	0
Tram2	108.600000	0	76	149	109	209	0
Hif1an	108.600000	0	121	137	102	183	0
Med16	108.400000	0	0	193	176	173	0
Zbtb9	107.800000	0	0	123	135	281	0
Spg21	107.800000	0	87	151	128	173	0
Snx11	107.400000	0	0	203	183	151	0
Ccdc85c	107.000000	0	135	177	77	146	0
Akt1	107.000000	0	0	240	174	121	0
Tdrd7	106.800000	0	100	162	114	158	0
Traf4	106.600000	0	89	246	0	198	0
Ssb	106.600000	0	110	221	0	202	0
Cpt1a	106.600000	0	0	263	134	136	0
Ehd1	106.200000	0	0	134	209	188	0
Gnb1l	106.000000	0	0	225	148	157	0
Arhgap23	105.600000	0	164	174	0	190	0
Tsr1	105.400000	0	116	135	124	152	0
Sgsm2	105.400000	0	116	135	124	152	0
Asmt	105.400000	229	141	0	157	0	0
Syap1	104.200000	0	0	214	138	169	0
Gins1	104.000000	0	104	131	138	147	0
Tgfbr3l	103.800000	0	132	155	109	123	0
Snapc2	103.800000	0	132	155	109	123	0
Gid4	103.800000	0	0	156	149	214	0
Hinfp	103.600000	0	0	186	198	134	0
Zfp688	103.400000	0	95	150	149	123	0
Mark2	103.000000	0	0	119	195	201	0
Zmym1	102.800000	0	0	119	232	163	0
Trp53bp1	102.600000	0	0	243	114	156	0
Ccdc63	102.600000	0	0	170	109	234	0
Clptm1	102.400000	0	0	177	133	202	0
Nagk	102.200000	0	101	184	90	136	0
Kbtbd2	102.200000	0	0	182	132	197	0
Papola	102.000000	0	98	151	144	117	0
Magi3	102.000000	0	98	151	136	125	0
Cand2	102.000000	0	106	149	134	121	0
Tesk1	101.800000	0	94	190	125	100	0
Mien1	101.800000	0	0	196	154	159	0
Ptger4	101.200000	0	75	0	195	236	0
Vps26a	101.000000	0	0	117	191	197	0
Por	100.800000	0	144	119	95	146	0
Taldo1	100.400000	0	0	181	182	139	0
Med26	100.400000	0	106	264	0	132	0
Klf10	100.200000	0	0	222	117	162	0
Uchl3	99.600000	0	0	174	157	167	0
Ccdc107	99.600000	0	0	195	146	157	0
Zbtb12	99.400000	0	111	184	89	113	0
Ehmt2	99.400000	0	111	184	89	113	0
Ndufaf2	99.200000	0	0	286	0	210	0
Capg	99.200000	0	0	184	136	176	0
Abtb1	99.000000	0	0	140	181	174	0
Commd7	98.800000	0	155	210	0	129	0
Stk40	98.400000	0	0	158	104	230	0
Ctr9	98.400000	0	0	217	132	143	0
Usp10	98.200000	0	0	191	128	172	0
Pak4	98.200000	0	0	140	160	191	0
Khdrbs1	98.200000	0	0	132	188	171	0
Map4k3	97.800000	0	138	225	126	0	0
Vamp3	97.400000	0	0	103	143	241	0
Pcyox1	97.400000	0	0	258	107	122	0
Set	96.800000	0	0	224	125	135	0
Zfp383	96.600000	0	0	208	92	183	0
Zfp27	96.600000	0	0	208	92	183	0
Pspn	96.000000	0	0	138	116	226	0
Alkbh7	96.000000	0	0	138	116	226	0
Ppm1g	95.600000	0	0	219	118	141	0
Scfd1	95.400000	0	0	121	157	199	0
Ubxn1	95.200000	0	109	190	177	0	0
Hsf1	94.800000	0	0	157	154	163	0
Bop1	94.800000	0	0	157	154	163	0
Ascc1	94.800000	0	0	114	183	177	0
Anapc16	94.800000	0	0	114	183	177	0
Zfp318	94.600000	0	0	141	172	160	0
Rgs12	94.400000	0	0	183	122	167	0
Tmem35b	94.200000	0	0	171	163	137	0
Lig3	94.200000	0	0	155	201	115	0
Sub1	93.800000	0	0	185	180	104	0
Zmynd19	93.600000	0	0	137	192	139	0
Crocc	93.600000	0	0	148	150	170	0
Dpysl3	93.400000	0	0	183	140	144	0
Tmc8	93.200000	0	108	238	0	120	0
Tmc6	93.200000	0	108	238	0	120	0
Ptbp3	93.200000	0	0	163	127	176	0
Baz2a	93.200000	0	0	161	133	172	0
Atp23	93.200000	0	146	132	0	188	0
Psmg1	93.000000	0	0	183	123	159	0
Vps26c	92.800000	0	88	131	90	155	0
Clint1	92.600000	0	0	199	125	139	0
Echs1	92.400000	0	0	142	178	142	0
Ttll13	92.200000	0	0	127	190	144	0
Kmt2a	92.200000	0	0	256	0	205	0
Tmem39b	92.000000	0	0	110	171	179	0
Fam107b	92.000000	0	0	181	72	207	0
Irf1	91.000000	0	0	137	168	150	0
Elf4	91.000000	0	0	224	0	231	0
Rnf149	90.800000	0	0	196	137	121	0
Tbc1d14	90.600000	0	0	184	151	118	0
Mob3c	90.400000	0	0	142	157	153	0
Ap1s2	90.400000	0	0	142	129	181	0
Gpn2	90.000000	0	0	153	199	98	0
Coro1c	89.800000	0	0	134	121	194	0
Naxe	88.800000	0	0	170	159	115	0
Slc1a5	88.600000	0	168	0	131	144	0
Rfx7	88.600000	0	167	148	128	0	0
Mettl2	88.200000	0	0	175	141	125	0
Vcpkmt	88.000000	0	0	236	0	204	0
Cdh12	88.000000	212	0	0	228	0	0
Sass6	87.600000	0	0	0	127	311	0
Ten1	87.200000	0	99	129	141	67	0
Snx30	87.200000	0	0	244	100	92	0
Acox1	87.200000	0	99	129	141	67	0
Tst	87.000000	0	0	212	0	223	0
Mpst	87.000000	0	0	212	0	223	0
Dnajc13	87.000000	0	0	172	109	154	0
Siah1b	86.800000	0	0	217	0	217	0
Lrp8	86.800000	0	0	137	96	201	0
Ywhaz	86.400000	0	0	152	100	180	0
Ubn2	86.400000	0	0	131	144	157	0
Cops6	86.400000	0	0	120	137	175	0
Usp28	86.200000	0	113	145	0	173	0
Slc10a3	85.800000	0	0	183	0	246	0
Gm44504	85.800000	0	0	183	0	246	0
Soat1	85.400000	0	0	208	0	219	0
Plec	85.200000	0	0	140	132	154	0
Dusp12	85.200000	0	0	126	172	128	0
Trim37	84.800000	0	0	211	0	213	0
Mcrs1	84.600000	0	0	161	135	127	0
