Target_genes	Atf2|Average	SRX515669|3T3-L1	SRX520192|3T3-L1	STRING
Gfm2	279.500000	445	114	0
G3bp2	279.500000	422	137	0
Ccp110	279.500000	559	0	0
9530068E07Rik	279.500000	277	282	0
Ugt1a6b	279.000000	466	92	0
Gm19774	279.000000	380	178	0
Cenpu	279.000000	373	185	0
Cct2	279.000000	0	558	0
Zfp868	278.000000	128	428	0
Tex45	278.000000	301	255	0
Pex11g	278.000000	301	255	0
Wdr5b	277.000000	383	171	0
Tnfaip1	276.500000	413	140	0
Pdlim7	276.500000	374	179	0
Ift20	276.500000	413	140	0
Dnttip2	276.500000	553	0	0
Ndufaf1	275.500000	551	0	0
H4c18	275.500000	551	0	0
H4bc24	275.500000	551	0	0
H3f3c	275.500000	551	0	0
H2bc23	275.500000	551	0	0
H2ac24	275.500000	551	0	0
H2ac23	275.500000	551	0	0
Gstz1	275.500000	551	0	0
Gosr1	275.500000	385	166	0
Elp5	275.000000	298	252	0
Ctdnep1	275.000000	298	252	0
Rassf1	274.500000	298	251	0
Rheb	274.000000	418	130	0
Fyco1	274.000000	548	0	0
Ift172	273.500000	365	182	0
Fndc4	273.500000	365	182	0
Med4	273.000000	546	0	0
Ell2	273.000000	359	187	0
Ylpm1	272.500000	369	176	0
Metrn	272.500000	545	0	0
Fam83a	272.500000	339	206	0
Antkmt	272.500000	545	0	0
Mterf1a	272.000000	147	397	0
Zbtb11	271.000000	213	329	0
Tnks1bp1	270.500000	541	0	0
Tbp	270.500000	355	186	0
Psmb1	270.500000	355	186	0
Uvssa	270.000000	130	410	0
Kif15	270.000000	265	275	0
Gm14137	270.000000	359	181	0
Gchfr	270.000000	359	181	0
Foxp1	270.000000	371	169	0
1110059G10Rik	270.000000	265	275	0
Hdac5	268.500000	537	0	0
Smad7	267.500000	445	90	0
Nup133	267.500000	309	226	0
Mrgprf	267.500000	206	329	0
Ube2f	267.000000	357	177	0
Sema6d	267.000000	534	0	0
Gtf2f1	267.000000	534	0	0
Ccnt1	267.000000	383	151	0
4930415O20Rik	267.000000	383	151	0
Mri1	266.500000	290	243	0
Wdr36	266.000000	314	218	0
Cltc	265.500000	381	150	0
Mlf2	265.000000	367	163	0
Kifc1	264.500000	529	0	0
Yipf2	263.000000	526	0	0
Timm29	263.000000	526	0	0
Pakap	263.000000	320	206	0
Kifc5b	263.000000	526	0	0
Tatdn2	262.000000	415	109	0
Nfkbil1	261.500000	400	123	0
Dus2	261.500000	309	214	0
Ddx28	261.500000	309	214	0
Atp6v1g2	261.500000	400	123	0
Rsrp1	261.000000	522	0	0
Fam76b	260.500000	207	314	0
Crlf2	260.500000	170	351	0
Cep57	260.500000	207	314	0
9530077C05Rik	260.500000	283	238	0
Cldn4	260.000000	520	0	0
Arl14ep	260.000000	391	129	0
Triobp	259.500000	519	0	0
Prxl2a	259.000000	518	0	0
Opa3	259.000000	345	173	0
Nup54	258.500000	403	114	0
Nars2	258.500000	356	161	0
Eogt	258.500000	258	259	0
Ankrd40	258.000000	371	145	0
Chmp7	257.500000	144	371	0
C1qtnf4	257.500000	353	162	0
Znrd2	257.000000	514	0	0
Fam89b	257.000000	514	0	0
Cdc42	257.000000	287	227	0
Il34	256.500000	352	161	0
Bloc1s6	256.500000	513	0	0
Tmem134	256.000000	512	0	0
Aip	256.000000	512	0	0
Tmbim4	255.500000	341	170	0
Chek1	255.500000	253	258	0
Zgrf1	255.000000	141	369	0
Larp7	255.000000	141	369	0
Gm14326	255.000000	510	0	0
Casc3	255.000000	270	240	0
Rpl29	254.500000	509	0	0
Micall1	254.500000	379	130	0
Lrrc8a	254.500000	509	0	0
Tmem43	254.000000	508	0	0
Chchd4	254.000000	508	0	0
Syf2	253.500000	284	223	0
Setd3	253.500000	240	267	0
Qtrt2	253.500000	358	149	0
Cphx3	253.500000	507	0	0
Cphx2	253.500000	507	0	0
Cphx1	253.500000	507	0	0
Ccnk	253.500000	240	267	0
Ccdc191	253.500000	358	149	0
Casp8ap2	253.000000	292	214	0
Zfp36	252.500000	310	195	0
Plekhg2	252.500000	310	195	0
Neil1	252.500000	505	0	0
Hcar2	252.500000	505	0	0
Asmt	252.500000	254	251	0
Fdxacb1	252.000000	378	126	0
1110032A03Rik	252.000000	378	126	0
Usp22	251.500000	141	362	0
Ubqln1	251.000000	295	207	0
Ifi204	251.000000	295	207	0
Polg	250.500000	501	0	0
Gm10509	250.500000	322	179	0
Ctdsp1	250.500000	501	0	0
Ube4a	250.000000	344	156	0
Crbn	250.000000	500	0	0
Cfl2	250.000000	500	0	0
Rfx3	249.500000	309	190	0
Prss35	249.000000	498	0	0
Ext1	248.500000	296	201	0
Zfp963	248.000000	240	256	0
Vps72	248.000000	311	185	0
Pip5k1a	248.000000	311	185	0
Smim41	247.500000	495	0	0
Ppp1r15a	247.500000	320	175	0
Plekha4	247.500000	320	175	0
Banp	247.500000	495	0	0
Zfp91	247.000000	323	171	0
Prg4	247.000000	494	0	0
Lpxn	247.000000	323	171	0
Aox1	247.000000	494	0	0
Gdf15	246.500000	493	0	0
Anapc5	246.500000	493	0	0
Tsc22d1	246.000000	492	0	0
Mdm2	246.000000	313	179	0
Aqr	246.000000	492	0	0
Zfp36l1	245.500000	346	145	0
Scrn3	245.500000	491	0	0
Cir1	245.500000	491	0	0
Cdk11b	245.500000	353	138	0
Nnmt	245.000000	332	158	0
Cbx8	245.000000	354	136	0
Abtb2	245.000000	490	0	0
Gypc	244.500000	489	0	0
Nfil3	244.000000	488	0	0
Fcf1	244.000000	376	112	0
Arel1	244.000000	376	112	0
Vps28	243.500000	487	0	0
Sorbs1	243.500000	322	165	0
Wdr75	243.000000	311	175	0
Zfp687	242.500000	269	216	0
Nlrx1	242.500000	291	194	0
Dctn3	242.500000	292	193	0
Pgap2	242.000000	221	263	0
Nup98	242.000000	221	263	0
Mocs3	242.000000	195	289	0
Malsu1	242.000000	322	162	0
Dpm1	242.000000	195	289	0
Aars2	242.000000	338	146	0
Gtf2f2	241.500000	483	0	0
Becn1	241.500000	379	104	0
Pef1	241.000000	334	148	0
Arih1	241.000000	198	284	0
Smg8	240.500000	481	0	0
Slc25a29	240.500000	320	161	0
Ostc	240.500000	481	0	0
Wnt1	240.000000	480	0	0
Rnf5	240.000000	329	151	0
Mettl26	240.000000	480	0	0
Dnah6	240.000000	480	0	0
Agpat1	240.000000	329	151	0
Zfp660	239.500000	479	0	0
Snu13	239.500000	279	200	0
Ormdl3	239.500000	287	192	0
Vat1	239.000000	478	0	0
Tubb3	239.000000	397	81	0
Rnd2	239.000000	478	0	0
Mc1r	239.000000	397	81	0
Cluap1	238.500000	274	203	0
1700037C18Rik	238.500000	274	203	0
Nfxl1	238.000000	476	0	0
Elmod2	238.000000	476	0	0
Pmvk	237.500000	250	225	0
Ndufv1	237.500000	363	112	0
Il15ra	237.500000	258	217	0
Aebp2	237.500000	475	0	0
