Target_genes	Foxc1|Average	SRX4309874|Kidney_Glomerulus	STRING
Ric8a	456.000000	456	0
Bet1l	456.000000	456	0
Baalc	455.000000	455	0
Cdsn	453.000000	453	0
Cldn15	450.000000	450	0
Garre1	448.000000	448	0
Gnaq	447.000000	447	0
Dph2	447.000000	447	0
Zfp36l1	446.000000	446	0
Proser2	444.000000	444	0
Nfatc3	438.000000	438	0
Speer4c	437.000000	437	0
Slc29a1	435.000000	435	0
Mymx	435.000000	435	0
Tbrg4	431.000000	431	0
Tnrc6c	428.000000	428	0
Ten1	422.000000	422	0
Foxd1	422.000000	422	0
Eapp	422.000000	422	0
Acox1	422.000000	422	0
Irf8	421.000000	421	0
Txnip	419.000000	419	0
Taf4b	406.000000	406	0
Nfe2	404.000000	404	0
Tmem71	402.000000	402	0
Mon1a	402.000000	402	0
Ndufb1	401.000000	401	0
Cpsf2	401.000000	401	0
Chd9	401.000000	401	0
Aatf	401.000000	401	0
Lonp2	398.000000	398	0
Kif20a	389.000000	389	0
Brd8	389.000000	389	0
Rassf1	385.000000	385	0
Gatad2b	382.000000	382	0
Arih2	381.000000	381	0
Mrvi1	376.000000	376	0
