Target_genes	Tfcp2l1|Average	SRX9345864|ES_cells	SRX9345866|ES_cells	SRX2229890|Kidney	STRING
Gabarapl1	392.666667	586	592	0	0
Zfp820	392.333333	537	640	0	0
Trim62	392.333333	540	637	0	0
Mrpl40	392.333333	704	473	0	0
Hira	392.333333	704	473	0	0
Epb41l4a	392.333333	908	269	0	0
Aamp	392.333333	699	478	0	0
Lonrf1	392.000000	644	532	0	0
Camk2n1	392.000000	916	260	0	0
Mta3	391.666667	793	382	0	0
Itga1	391.666667	723	452	0	0
Gphn	391.666667	812	363	0	0
Atg10	391.333333	542	632	0	0
Arid3c	391.333333	566	608	0	0
Lrrc8b	390.333333	775	396	0	0
Gm5148	390.333333	779	392	0	0
Eif6	390.333333	440	731	0	0
Smco2	390.000000	554	616	0	0
Gm3776	390.000000	791	379	0	0
Tcea3	389.666667	679	490	0	0
Clip1	389.666667	697	472	0	0
Slc22a20	389.333333	779	389	0	0
Serpinb6c	389.333333	658	510	0	0
Rnd1	389.333333	750	418	0	0
Igsf5	389.333333	647	521	0	0
Zfp383	389.000000	480	687	0	0
Zfp27	389.000000	480	687	0	0
Hells	389.000000	572	595	0	0
Dusp2	389.000000	896	271	0	0
Dlg3	389.000000	568	599	0	0
Astl	389.000000	896	271	0	0
Efnb3	388.666667	773	393	0	0
Nxph3	388.333333	811	354	0	0
Zfp867	388.000000	876	288	0	0
Rnaset2a	388.000000	766	398	0	0
Pde9a	387.666667	613	550	0	0
Neil2	387.666667	708	455	0	0
Hs1bp3	387.666667	729	434	0	0
Zc3h11a	387.333333	647	515	0	0
Zbed6	387.333333	647	515	0	0
Sost	387.333333	382	780	0	0
Jund	387.333333	551	611	0	0
Eml4	387.333333	557	605	0	0
Aig1	387.333333	781	381	0	0
Tango2	387.000000	764	397	0	0
Arvcf	387.000000	764	397	0	0
Angptl2	387.000000	662	499	0	0
Haus1	386.666667	683	477	0	0
Atp5a1	386.666667	683	477	0	0
Srd5a3	386.333333	724	435	0	0
