Target_genes	Hoxa13|Average	SRX4618294|Embryonic_limb	SRX4618296|Embryonic_limb	SRX4618301|Embryonic_limb	SRX1757411|Forelimb	STRING
Itih3	201.750000	0	807	0	0	0
Kif13a	200.500000	0	296	0	506	0
Adamts1	200.500000	0	802	0	0	0
Nup93	200.250000	0	332	0	469	0
Gm21119	200.250000	122	488	191	0	0
4930467E23Rik	200.250000	122	488	191	0	0
Itprid2	200.000000	0	155	143	502	0
Ptprr	199.750000	0	799	0	0	0
Otp	199.500000	0	698	100	0	0
Vcam1	199.250000	0	602	0	195	0
Adam28	199.250000	0	797	0	0	0
4930591A17Rik	199.250000	0	797	0	0	0
Smad6	199.000000	0	0	0	796	0
Setdb1	199.000000	0	679	0	117	0
Serpinb13	199.000000	0	512	0	284	0
Ctdp1	199.000000	0	319	0	477	0
Zfp488	198.750000	0	450	0	345	0
Mss51	198.750000	0	485	0	310	0
Kifc3	198.750000	0	641	0	154	0
Sdr42e1	198.250000	0	476	0	317	0
Srp19	197.750000	0	415	0	376	0
Smco4	197.750000	0	615	0	176	0
Hnrnpa1	197.500000	0	656	0	134	0
Cbx5	197.500000	0	656	0	134	0
Slc9a3r2	197.000000	0	0	0	788	0
Pdlim4	197.000000	0	0	0	788	0
Cd160	197.000000	0	443	0	345	0
Nsun5	196.750000	0	787	0	0	0
Hif1a	196.750000	0	698	89	0	0
Gm13286	196.750000	135	205	447	0	0
Gm13283	196.750000	135	205	447	0	0
Gm13271	196.750000	135	205	447	0	0
Aadacl2fm2	196.750000	0	787	0	0	0
