Target_genes	Mxi1|Average	SRX140388|CH12	SRX140391|MEL	SRX15939545|NIH/3T3	SRX15939546|NIH/3T3	STRING
Lpxn	1287.750000	1049	986	1435	1681	0
Taf12	1285.750000	1080	911	1375	1777	0
Fpgs	1281.000000	866	1155	1500	1603	0
Adat1	1280.000000	1169	1562	1318	1071	0
Sgtb	1276.250000	1162	1249	1431	1263	0
Rmi2	1276.250000	1000	724	1697	1684	0
Nln	1276.250000	1162	1249	1431	1263	0
Tcstv3	1274.750000	2148	1611	680	660	0
Slc20a1	1271.250000	1147	1034	1369	1535	0
Saxo2	1270.250000	1637	1512	1009	923	0
Gtf2f2	1270.250000	1386	1627	1140	928	0
Efl1	1270.250000	1637	1512	1009	923	0
Urb1	1269.500000	1092	1466	1287	1233	0
Psmb10	1269.500000	1174	1150	1196	1558	0
Ctrl	1269.500000	1174	1150	1196	1558	0
Txn2	1269.000000	858	889	1732	1597	0
Ndufaf4	1269.000000	1170	1461	1135	1310	0
Cops7a	1268.000000	848	998	1415	1811	0
Trmt11	1267.000000	556	1241	1395	1876	0
Ndufaf2	1264.500000	829	1187	1102	1940	0
Nagpa	1263.500000	1281	1568	1045	1160	0
Pou2f1	1262.750000	638	510	2067	1836	0
Ttll4	1260.750000	981	1247	1295	1520	0
Xpot	1260.000000	937	834	1641	1628	0
Trp53rkb	1260.000000	1133	1394	1276	1237	0
Rida	1257.000000	1155	1354	1163	1356	0
Pop1	1257.000000	1155	1354	1163	1356	0
Gm3448	1256.750000	1074	1047	1540	1366	0
Gm3417	1256.750000	1074	1047	1540	1366	0
Wdr48	1255.500000	658	1135	1329	1900	0
Gpn1	1254.500000	613	1302	1469	1634	0
Ppat	1253.250000	783	857	1631	1742	0
Paics	1253.250000	783	857	1631	1742	0
Kdsr	1253.000000	975	1308	1368	1361	0
Taf4b	1252.500000	822	1026	1428	1734	0
Polr2f	1251.000000	1050	1080	1347	1527	0
1700088E04Rik	1251.000000	1050	1080	1347	1527	0
Iars	1250.750000	905	1176	1358	1564	0
Agtrap	1250.250000	1771	1628	545	1057	0
Hsph1	1249.250000	1332	1124	1292	1249	0
Rbm34	1249.000000	1137	1493	1135	1231	0
Ola1	1249.000000	1315	1157	1293	1231	0
Ergic1	1247.500000	769	884	1699	1638	0
Alg1	1247.500000	1341	1411	1044	1194	0
Gtf3c6	1245.500000	897	949	1603	1533	0
Utp18	1244.000000	995	1225	1185	1571	0
Mbtd1	1244.000000	995	1225	1185	1571	0
Lcat	1243.750000	1071	1150	1196	1558	0
Cstf1	1243.250000	1179	1405	1099	1290	0
Aurka	1243.250000	1179	1405	1099	1290	0
Mdh1b	1242.500000	1557	0	1841	1572	0
Fastkd2	1242.500000	1557	0	1841	1572	0
Polr3e	1242.250000	1142	1069	1390	1368	0
Pbld2	1241.250000	1004	1331	1137	1493	0
Hnrnph3	1241.250000	1004	1331	1137	1493	0
Man2c1	1240.750000	1122	1250	1223	1368	0
Pgam5	1240.500000	935	971	1609	1447	0
Naa25	1240.000000	781	870	1546	1763	0
Acy1	1240.000000	1148	1370	1183	1259	0
Pin1	1238.250000	2082	1271	666	934	0
Mtx3	1236.250000	998	1226	1208	1513	0
Zmym1	1234.750000	684	806	1665	1784	0
Tcte3	1234.500000	1074	1047	1540	1277	0
Pfas	1233.750000	1037	1236	1341	1321	0
Prpf38a	1231.250000	988	698	1523	1716	0
Orc1	1231.250000	988	698	1523	1716	0
9030025P20Rik	1231.250000	1052	976	1531	1366	0
Kbtbd3	1230.250000	684	1141	1591	1505	0
Aasdhppt	1230.250000	684	1141	1591	1505	0
Rab28	1229.750000	890	1101	1360	1568	0
Ddx21	1229.500000	1075	913	1560	1370	0
Larp4	1229.250000	658	926	1724	1609	0
Pofut2	1228.750000	1764	1081	1067	1003	0
Rps19bp1	1228.000000	1196	1273	1283	1160	0
Dcakd	1228.000000	968	1263	1468	1213	0
Gm3435	1227.000000	1074	1047	1540	1247	0
Polr3b	1225.750000	1241	1130	1265	1267	0
Zar1l	1225.500000	1088	1444	1232	1138	0
Brca2	1225.500000	1088	1444	1232	1138	0
Nufip1	1225.250000	1191	1469	1278	963	0
Gpalpp1	1225.250000	1191	1469	1278	963	0
Vcp	1224.750000	1132	1181	1243	1343	0
Itpr1	1224.000000	1172	1414	1105	1205	0
Amd2	1224.000000	612	1111	1669	1504	0
Amd1	1224.000000	612	1111	1669	1504	0
Nr1d2	1223.750000	1022	1153	1312	1408	0
Mcm7	1222.250000	1041	938	1385	1525	0
Ap4m1	1222.250000	1041	938	1385	1525	0
Lsm2	1220.250000	1051	664	1585	1581	0
Top1	1219.250000	965	1084	1294	1534	0
Sae1	1219.250000	883	1423	1404	1167	0
Zfp472	1218.500000	913	1232	1303	1426	0
Tars	1218.500000	736	1102	1397	1639	0
Rpl14	1218.500000	1044	1253	1206	1371	0
Dpagt1	1216.000000	938	1326	1046	1554	0
Vav2	1215.750000	944	1421	1176	1322	0
Usp16	1215.750000	1054	1559	985	1265	0
Zc3h8	1214.250000	909	830	1329	1789	0
Bcas3	1213.500000	1178	1305	1019	1352	0
Shq1	1213.250000	1214	1024	1422	1193	0
Zfp81	1213.000000	685	1144	1350	1673	0
Herpud2	1212.500000	1160	1360	1193	1137	0
Khdrbs1	1211.000000	1031	1273	1255	1285	0
Diablo	1211.000000	812	813	1695	1524	0
Nup85	1210.000000	862	832	1671	1475	0
Tmem11	1209.750000	1132	1363	1058	1286	0
Aunip	1209.750000	592	388	1930	1929	0
Upf3a	1208.000000	1013	789	1625	1405	0
Tbl3	1208.000000	1126	1466	1167	1073	0
Gnpat	1207.750000	1020	916	1513	1382	0
2810004N23Rik	1207.750000	1020	916	1513	1382	0
Psmc5	1207.500000	1340	1506	1000	984	0
Ftsj3	1207.500000	1340	1506	1000	984	0
Mrpl48	1205.000000	1080	1219	1123	1398	0
Zfp202	1203.250000	1013	522	1711	1567	0
Fam185a	1200.000000	669	678	1444	2009	0
Ccdc146	1200.000000	669	678	1444	2009	0
Top1mt	1199.750000	655	884	1717	1543	0
Hspbp1	1195.750000	813	1637	1217	1116	0
Taf8	1193.000000	1131	1335	1104	1202	0
Ccnd3	1193.000000	1131	1335	1104	1202	0
