Target_genes	Prdm5|Average	SRX731121|MC3T3	SRX731122|MC3T3	SRX731123|MC3T3	STRING
Cox11	49.333333	0	148	0	0
AU018091	49.333333	0	148	0	0
Lmna	48.666667	0	146	0	0
Chd3	48.666667	0	146	0	0
Zc3h10	48.333333	0	145	0	0
Smad7	48.333333	0	145	0	0
Rpl41	48.333333	0	145	0	0
Ppp1r35	48.333333	0	145	0	0
Notch4	48.333333	0	145	0	0
Ifitm3	48.333333	0	145	0	0
Htra2	48.333333	145	0	0	0
Fhl3	48.333333	0	145	0	0
Dqx1	48.333333	145	0	0	0
Tubb4b	48.000000	0	144	0	0
Trim47	48.000000	0	144	0	0
Ptp4a3	48.000000	0	144	0	0
Mettl26	48.000000	0	144	0	0
Echdc2	48.000000	0	144	0	0
Lrch4	47.666667	0	143	0	0
Garnl3	47.666667	0	143	0	0
Fbxo24	47.666667	0	143	0	0
Ankrd63	47.333333	0	142	0	0
Pank1	47.000000	0	141	0	0
Zfpl1	46.666667	140	0	0	0
Tmem262	46.666667	140	0	0	0
Slc29a1	46.666667	0	140	0	0
Rrp15	46.666667	0	140	0	0
Gtf2h3	46.666667	140	0	0	0
Eif2b1	46.666667	140	0	0	0
Cdca5	46.666667	140	0	0	0
Thbs3	46.333333	0	139	0	0
Slc44a1	46.333333	0	139	0	0
Prpf8	46.333333	0	139	0	0
Mtx1	46.333333	0	139	0	0
Fancg	46.333333	0	139	0	0
Ptn	46.000000	0	138	0	0
Cops6	46.000000	0	138	0	0
Tmem129	45.666667	0	137	0	0
Tacc3	45.666667	0	137	0	0
Snrnp48	45.666667	0	137	0	0
Slc33a1	45.666667	0	137	0	0
Slbp	45.666667	0	137	0	0
Sgpl1	45.666667	0	137	0	0
Numa1	45.666667	0	137	0	0
Myd88	45.666667	0	137	0	0
Gpd2	45.666667	0	137	0	0
Gnai3	45.666667	0	137	0	0
Flrt2	45.666667	0	137	0	0
Dync2li1	45.666667	0	137	0	0
Ccdc126	45.666667	0	137	0	0
2900026A02Rik	45.666667	0	137	0	0
Ahdc1	45.333333	0	136	0	0
Pcyox1	45.000000	0	135	0	0
Lhx8	45.000000	0	135	0	0
Phlda3	44.666667	0	134	0	0
Kmt5c	44.333333	0	133	0	0
Fam83d	44.333333	0	133	0	0
Snap47	44.000000	0	132	0	0
Jmjd4	44.000000	0	132	0	0
Crip2	44.000000	0	132	0	0
Tet3	43.666667	0	131	0	0
Osgin2	43.666667	0	131	0	0
Gper1	43.666667	0	131	0	0
Dnajb12	43.333333	0	130	0	0
Thumpd1	43.000000	129	0	0	0
Septin8	43.000000	0	129	0	0
Med27	43.000000	129	0	0	0
Hsd11b2	43.000000	0	129	0	0
Guf1	43.000000	129	0	0	0
Atp5o	43.000000	129	0	0	0
Rrp1	42.666667	128	0	0	0
Lipe	42.333333	0	127	0	0
Dennd4c	42.333333	0	127	0	0
Chst12	42.333333	0	127	0	0
Specc1	42.000000	0	126	0	0
Rundc3a	42.000000	0	126	0	0
Rrm2b	42.000000	0	126	0	0
Pccb	42.000000	0	126	0	0
Iqce	42.000000	0	126	0	0
Dym	42.000000	0	126	0	0
Cntln	42.000000	0	126	0	0
Brat1	42.000000	0	126	0	0
Arfgap2	42.000000	0	126	0	0
Tcirg1	41.666667	0	125	0	0
Sac3d1	41.666667	0	125	0	0
Add1	41.666667	0	125	0	0
Shprh	41.333333	0	124	0	0
Cnnm4	41.333333	0	124	0	0
Ahnak	41.333333	0	124	0	0
Rpl10a	41.000000	0	123	0	0
Ring1	41.000000	0	123	0	0
Myh13	41.000000	0	123	0	0
H2-Ke6	41.000000	0	123	0	0
Spg20	40.666667	0	122	0	0
Fam234b	40.666667	0	122	0	0
Ccdc57	40.666667	0	122	0	0
Dus2	40.333333	121	0	0	0
Ddx28	40.333333	121	0	0	0
Thap11	40.000000	0	120	0	0
Cenpt	40.000000	0	120	0	0
Tymp	39.666667	0	119	0	0
Traf3ip1	39.666667	0	119	0	0
Sco2	39.666667	0	119	0	0
Nup214	39.666667	119	0	0	0
Erfe	39.666667	0	119	0	0
B3gnt2	39.666667	0	119	0	0
H3c10	39.333333	0	118	0	0
H2bc14	39.333333	0	118	0	0
H2bc13	39.333333	0	118	0	0
H2ac13	39.333333	0	118	0	0
Ftsj1	39.333333	118	0	0	0
Asap3	39.333333	118	0	0	0
Prelp	39.000000	0	117	0	0
Ubr4	38.666667	0	116	0	0
Phf20l1	38.666667	0	116	0	0
Nwd1	38.666667	0	116	0	0
Mtrex	38.666667	0	116	0	0
Dhx29	38.666667	0	116	0	0
Arrdc4	38.666667	0	116	0	0
Tmem59	38.000000	0	114	0	0
Tceanc2	38.000000	0	114	0	0
Rrs1	38.000000	0	114	0	0
Adhfe1	38.000000	0	114	0	0
S100b	37.000000	0	111	0	0
Ccdc107	37.000000	0	111	0	0
Ube2m	36.666667	0	110	0	0
Rnf8	36.666667	0	110	0	0
Chmp2a	36.666667	0	110	0	0
Capn15	36.666667	0	110	0	0
Ugdh	36.000000	0	108	0	0
Resf1	36.000000	0	108	0	0
Gemin6	36.000000	0	108	0	0
Dbp	36.000000	0	108	0	0
Prdm2	35.666667	107	0	0	0
Zswim6	35.333333	0	106	0	0
Slc12a6	35.333333	0	106	0	0
Pkp2	35.333333	0	106	0	0
Nop10	35.333333	0	106	0	0
Meis2	35.333333	0	106	0	0
Ccne1	35.333333	0	106	0	0
Unc119	35.000000	0	105	0	0
Fam221a	35.000000	0	105	0	0
Ndufv1	34.666667	0	104	0	0
Zfp746	34.333333	0	103	0	0
Timm13	34.333333	0	103	0	0
Ptx3	34.333333	0	103	0	0
Pacc1	34.333333	0	103	0	0
Itpr1	34.333333	0	103	0	0
Itpkb	34.333333	0	103	0	0
Invs	33.666667	0	101	0	0
Erp44	33.666667	0	101	0	0
Amotl2	32.666667	0	98	0	0
Mrpl2	32.333333	97	0	0	0
Klc4	32.333333	97	0	0	0
Cul7	32.333333	97	0	0	0
Usp5	32.000000	0	96	0	0
Rpl38	32.000000	96	0	0	0
Cdca3	32.000000	0	96	0	0
Fzd2	31.666667	0	95	0	0
Foxs1	30.000000	0	90	0	0
Klhl15	28.666667	0	86	0	0
Cand1	28.000000	0	84	0	0
Cfl1	27.000000	0	81	0	0
Atp8b2	26.000000	0	78	0	0
Snx17	25.666667	77	0	0	0
Eif2b4	25.666667	77	0	0	0
Tlr2	25.000000	0	75	0	0
Shpk	25.000000	0	75	0	0
Gna13	25.000000	0	75	0	0
Ctns	25.000000	0	75	0	0
Ccnd1	0.000000	0	0	0	406
