Target_genes	Srebf2|Average	SRX7671896|NLPCs	SRX7671897|NLPCs	SRX7671884|Oligodendrocytes	SRX7671885|Oligodendrocytes	STRING
Mrpl43	127.750000	394	117	0	0	0
Brix1	127.750000	343	168	0	0	0
Sdhaf2	127.250000	360	149	0	0	0
Rexo5	127.250000	509	0	0	0	0
Eri2	127.250000	509	0	0	0	0
Cpsf7	127.250000	360	149	0	0	0
Trmt10c	127.000000	383	125	0	0	0
Rpl8	127.000000	317	191	0	0	0
Kifc5b	127.000000	313	195	0	0	0
Commd5	127.000000	317	191	0	0	0
Tnpo3	126.250000	351	154	0	0	0
Riok1	126.000000	386	118	0	0	0
Cage1	126.000000	386	118	0	0	0
Tmco6	125.750000	503	0	0	0	0
Mfap1b	125.750000	327	176	0	0	0
Abcf1	125.500000	364	138	0	0	0
Ubxn8	125.250000	359	142	0	0	0
Cenpu	125.250000	344	157	0	0	0
Rpl34-ps1	125.000000	500	0	0	0	0
Rpl34	125.000000	500	0	0	0	0
Cnot10	125.000000	388	112	0	0	0
Arpc2	125.000000	333	167	0	0	0
Mettl2	124.000000	327	169	0	0	0
Ly6g5b	124.000000	496	0	0	0	0
Gpank1	124.000000	496	0	0	0	0
D17H6S53E	124.000000	496	0	0	0	0
Csnk2b	124.000000	496	0	0	0	0
Szt2	123.750000	377	118	0	0	0
Med8	123.750000	377	118	0	0	0
Zfp407	123.250000	395	98	0	0	0
Noc3l	123.000000	353	139	0	0	0
Eif2b2	123.000000	324	168	0	0	0
Sfswap	122.750000	347	144	0	0	0
Gpatch2l	122.750000	369	122	0	0	0
Cyb5b	122.500000	383	107	0	0	0
Thg1l	122.250000	388	101	0	0	0
Vipas39	122.000000	406	82	0	0	0
Rps20	122.000000	367	121	0	0	0
Ahsa1	122.000000	406	82	0	0	0
Mpzl3	121.500000	486	0	0	0	0
Pak1ip1	121.000000	399	85	0	0	0
Zfp672	120.750000	305	178	0	0	0
Sh3bp5l	120.750000	305	178	0	0	0
Cstf2t	120.750000	374	109	0	0	0
Srbd1	120.500000	306	176	0	0	0
Pi4k2a	120.000000	480	0	0	0	0
Morn4	120.000000	480	0	0	0	0
Spg11	119.750000	356	123	0	0	0
Wdr89	119.500000	310	168	0	0	0
Rsl24d1	119.500000	478	0	0	0	0
Pik3ca	119.250000	477	0	0	0	0
Nt5c3	118.500000	331	143	0	0	0
Polr3b	118.250000	375	98	0	0	0
Brpf1	118.250000	142	110	221	0	0
Ncstn	118.000000	334	138	0	0	0
Copa	118.000000	334	138	0	0	0
Adrm1	118.000000	322	150	0	0	0
Usp19	117.500000	359	111	0	0	0
Nek9	117.500000	347	123	0	0	0
Farsa	117.500000	343	127	0	0	0
Tmem238	117.250000	342	127	0	0	0
Rpl28	117.250000	342	127	0	0	0
Foxk2	116.750000	345	122	0	0	0
Asb1	116.750000	298	169	0	0	0
Srpr	116.250000	285	180	0	0	0
Foxred1	116.250000	285	180	0	0	0
Orc2	116.000000	464	0	0	0	0
Tmx2	115.500000	462	0	0	0	0
Pdp2	115.500000	166	0	296	0	0
Med19	115.500000	462	0	0	0	0
Unkl	115.250000	339	122	0	0	0
Percc1	115.250000	339	122	0	0	0
BC003965	115.250000	339	122	0	0	0
Elof1	115.000000	340	120	0	0	0
Dbnl	115.000000	367	93	0	0	0
Trim41	114.750000	326	133	0	0	0
Zfp60	114.500000	458	0	0	0	0
Ankrd42	114.500000	358	100	0	0	0
Zbtb21	114.250000	313	144	0	0	0
Wdr34	114.000000	342	114	0	0	0
Mapkap1	113.750000	455	0	0	0	0
Ropn1l	113.500000	324	130	0	0	0
Ssr2	113.250000	453	0	0	0	0
Lrrc47	113.250000	453	0	0	0	0
Ttf1	113.000000	337	115	0	0	0
Gtpbp4	113.000000	452	0	0	0	0
Abcb10	113.000000	315	137	0	0	0
Gm3448	112.750000	381	70	0	0	0
Gm3417	112.750000	381	70	0	0	0
Chordc1	112.750000	236	215	0	0	0
Gga1	112.500000	335	115	0	0	0
Ap1m1	112.500000	304	146	0	0	0
Puf60	111.750000	314	133	0	0	0
Zfp623	111.500000	314	132	0	0	0
Eif6	111.500000	339	107	0	0	0
Arpc3	111.500000	446	0	0	0	0
Aaas	111.500000	303	143	0	0	0
Ttc1	111.000000	444	0	0	0	0
Sart1	111.000000	257	187	0	0	0
Med25	111.000000	302	142	0	0	0
Fuz	111.000000	302	142	0	0	0
Tmem230	110.750000	443	0	0	0	0
Mcm7	110.750000	274	169	0	0	0
Ap4m1	110.750000	274	169	0	0	0
Ublcp1	110.250000	441	0	0	0	0
Rpl6	110.250000	297	144	0	0	0
Pdss1	110.000000	331	109	0	0	0
Zpr1	109.750000	439	0	0	0	0
Apoa5	109.750000	439	0	0	0	0
Mdm4	109.500000	438	0	0	0	0
Cdk13	109.000000	271	165	0	0	0
Wdr27	108.750000	322	113	0	0	0
Rchy1	108.750000	435	0	0	0	0
Nol6	108.750000	338	97	0	0	0
1600012H06Rik	108.750000	322	113	0	0	0
Dnajc16	108.250000	278	155	0	0	0
Casp9	108.250000	278	155	0	0	0
